kind,policy,instance,step,tool,restart,input_hash,claim,outcome
receipt,candidate,0,0,0,0,ac9eef8f1a00f482,1,0
receipt,candidate,0,0,1,0,ac9eef8f1a00f482,0,0
receipt,candidate,0,1,0,0,ac9eef8f1a00f482,0,0
receipt,candidate,0,1,1,0,ac9eef8f1a00f482,0,0
receipt,candidate,0,2,0,0,ac9eef8f1a00f482,0,0
receipt,candidate,0,2,1,0,ac9eef8f1a00f482,0,0
receipt,candidate,0,3,0,0,ac9eef8f1a00f482,1,0
receipt,candidate,0,3,1,0,ac9eef8f1a00f482,0,0
receipt,candidate,0,4,0,0,ac9eef8f1a00f482,0,0
receipt,candidate,0,4,1,0,ac9eef8f1a00f482,0,0
receipt,candidate,1,0,0,0,cfcd17f27abc9bf3,1,1
receipt,candidate,1,0,1,0,cfcd17f27abc9bf3,0,1
receipt,candidate,1,1,0,0,cfcd17f27abc9bf3,0,1
receipt,candidate,1,1,1,0,cfcd17f27abc9bf3,0,1
receipt,candidate,1,2,0,0,cfcd17f27abc9bf3,1,1
receipt,candidate,1,2,1,0,cfcd17f27abc9bf3,1,1
receipt,candidate,1,3,0,0,cfcd17f27abc9bf3,0,1
receipt,candidate,1,3,1,0,cfcd17f27abc9bf3,0,1
receipt,candidate,1,4,0,0,cfcd17f27abc9bf3,0,1
receipt,candidate,1,4,1,0,cfcd17f27abc9bf3,0,1
receipt,candidate,2,0,0,0,59d9b319754c58d8,1,1
receipt,candidate,2,0,1,0,59d9b319754c58d8,0,1
receipt,candidate,2,1,0,0,59d9b319754c58d8,0,1
receipt,candidate,2,1,1,0,59d9b319754c58d8,1,1
receipt,candidate,2,2,0,0,59d9b319754c58d8,1,1
receipt,candidate,2,2,1,0,59d9b319754c58d8,1,1
receipt,candidate,2,3,0,0,59d9b319754c58d8,0,1
receipt,candidate,2,3,1,0,59d9b319754c58d8,0,1
receipt,candidate,2,4,0,0,59d9b319754c58d8,0,1
receipt,candidate,2,4,1,0,59d9b319754c58d8,0,1
receipt,candidate,3,0,0,0,959a1ccc4bd4795a,1,0
receipt,candidate,3,0,1,0,959a1ccc4bd4795a,0,0
receipt,candidate,3,1,0,0,959a1ccc4bd4795a,0,0
receipt,candidate,3,1,1,0,959a1ccc4bd4795a,1,0
receipt,candidate,3,2,0,0,959a1ccc4bd4795a,1,0
receipt,candidate,3,2,1,0,959a1ccc4bd4795a,1,0
receipt,candidate,3,3,0,0,959a1ccc4bd4795a,0,0
receipt,candidate,3,3,1,0,959a1ccc4bd4795a,0,0
receipt,candidate,3,4,0,0,959a1ccc4bd4795a,1,0
receipt,candidate,3,4,1,0,959a1ccc4bd4795a,0,0
receipt,candidate,4,0,0,0,e42753ade51b9596,0,1
receipt,candidate,4,0,1,0,e42753ade51b9596,0,1
receipt,candidate,4,1,0,0,e42753ade51b9596,0,1
receipt,candidate,4,1,1,0,e42753ade51b9596,0,1
receipt,candidate,4,2,0,0,e42753ade51b9596,0,1
receipt,candidate,4,2,1,0,e42753ade51b9596,0,1
receipt,candidate,4,3,0,0,e42753ade51b9596,0,1
receipt,candidate,4,3,1,0,e42753ade51b9596,0,1
receipt,candidate,4,4,0,0,e42753ade51b9596,0,1
receipt,candidate,4,4,1,0,e42753ade51b9596,0,1
receipt,candidate,5,0,0,0,fbedc004d4e1ae4d,1,1
receipt,candidate,5,0,1,0,fbedc004d4e1ae4d,0,1
receipt,candidate,5,1,0,0,fbedc004d4e1ae4d,1,1
receipt,candidate,5,1,1,0,fbedc004d4e1ae4d,0,1
receipt,candidate,5,2,0,0,fbedc004d4e1ae4d,0,1
receipt,candidate,5,2,1,0,fbedc004d4e1ae4d,0,1
receipt,candidate,5,3,0,0,fbedc004d4e1ae4d,0,1
receipt,candidate,5,3,1,0,fbedc004d4e1ae4d,0,1
receipt,candidate,5,4,0,0,fbedc004d4e1ae4d,1,1
receipt,candidate,5,4,1,0,fbedc004d4e1ae4d,0,1
receipt,candidate,6,0,0,0,546ab947816e6965,1,1
receipt,candidate,6,0,1,0,546ab947816e6965,0,1
receipt,candidate,6,1,0,0,546ab947816e6965,1,1
receipt,candidate,6,1,1,0,546ab947816e6965,1,1
receipt,candidate,6,2,0,0,546ab947816e6965,0,1
receipt,candidate,6,2,1,0,546ab947816e6965,0,1
receipt,candidate,6,3,0,0,546ab947816e6965,1,1
receipt,candidate,6,3,1,0,546ab947816e6965,1,1
receipt,candidate,6,4,0,0,546ab947816e6965,0,1
receipt,candidate,6,4,1,0,546ab947816e6965,1,1
receipt,candidate,7,0,0,0,61f86ca6bb07a4a,1,0
receipt,candidate,7,0,1,0,61f86ca6bb07a4a,1,0
receipt,candidate,7,1,0,0,61f86ca6bb07a4a,0,0
receipt,candidate,7,1,1,0,61f86ca6bb07a4a,0,0
receipt,candidate,7,2,0,0,61f86ca6bb07a4a,1,0
receipt,candidate,7,2,1,0,61f86ca6bb07a4a,0,0
receipt,candidate,7,3,0,0,61f86ca6bb07a4a,0,0
receipt,candidate,7,3,1,0,61f86ca6bb07a4a,0,0
