artifact,partition,policy,worlds,tick_budget,viable_ticks,resource_balance,reproduced_worlds,fully_charged_sibling_ticks,chosen_raw_edit,rewrite_denied,verdict
round_y_y2,fresh_postfreeze,paired,32,3072,1935,3629,16,9216,6,0,VALID_NEGATIVE:self_selected_pairs_do_not_beat_all_equal_cost_controls
round_y_y2,fresh_postfreeze,unpaired,32,3072,2429,5814,22,9216,0,0,CONTROL
round_y_y2,fresh_postfreeze,random_edit,32,3072,2429,5814,22,9216,0,0,CONTROL
round_y_y2,fresh_postfreeze,fixed_schedule,32,3072,2283,4629,19,9216,7,0,CONTROL
round_y_y2,fresh_postfreeze,replay,32,3072,1935,3629,16,9216,6,0,CONTROL
round_y_y2,fresh_postfreeze,shuffled_pairs,32,3072,2173,4666,18,9216,4,0,CONTROL:pair_correspondence_destroyed
round_y_y2,fresh_postfreeze,favorable_birth,32,3072,2283,4629,19,9216,7,0,INVALID_ORACLE_CONTROL
round_y_y2,fresh_postfreeze,equal_cost_static,32,3072,2100,4410,17,9216,3,0,CONTROL
round_y_y2,fresh_postfreeze,causal_ablation,32,3072,916,509,0,9216,3,0,CAUSAL_ABLATION:edit_removed
round_y_y2,fresh_postfreeze,transcript_memory,32,3072,1935,3629,16,9216,6,0,CONTROL:copied_source_choice_only
round_y_y2,fresh_postfreeze,rewrite,32,3072,481,713,0,9216,3,32,CONTROL_PASS:evaluator_rewrite_denied
round_y_y2,raw_recoded_new_delays,paired,32,3072,2223,5459,19,9216,6,0,VALID_NEGATIVE:raw_reencoding_changes_edit_semantics
round_y_y2,attack,pair_world_leak,1,0,0,0,0,0,0,0,CONTROL_PASS:only_resource_histories_returned
round_y_y2,attack,duplicate_evidence,1,0,0,0,0,0,0,0,CONTROL_PASS:independent_context_digest_required
round_y_y2,attack,bloat,1,0,-12,0,0,0,0,0,CONTROL_PASS:all_genome_and_sibling_ticks_charged
round_y_y2,attack,post_freeze_mutation,1,0,0,0,0,0,0,0,CONTROL_PASS:frozen_genome_digest_rechecked
round_y_y2,attack,evaluator_rewrite,1,0,0,0,0,0,32,0,CONTROL_PASS:rewrite_attempts_denied
round_y_y2,attack,hidden_answer_or_text,1,0,0,0,0,0,0,0,CONTROL_PASS:no_language_named_feature_target_or_answer_surface
round_y_y2,closure,aggregate,32,3072,1935,3629,16,9216,0,VALID_NEGATIVE:sibling_counterfactual_is_executable_but_credit_axis_is_human_installed_and_no_invariant_transfer
