protocol,record_type,target_token,split,signature,public_global,public_singleton,public_directed,public_adjacency,winning_family,policy_inputs,rule,field_permutation,heldout_correct,heldout_total,duplicate_attack,token_rename_attack,target_id_attack,verdict
round_n_trace_audit,target,N2-17,train,0,887,588,787,862,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-04,train,0,887,588,787,862,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-39,train,1,542,581,787,787,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-22,train,1,542,581,787,787,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-08,train,2,916,611,565,928,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-45,train,2,916,611,565,928,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-01,train,3,870,667,737,586,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-34,train,3,870,667,737,586,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-13,train,4,864,725,933,819,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-28,train,4,864,725,933,819,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-42,train,5,763,916,831,639,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-06,train,5,763,916,831,639,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-31,train,6,717,933,685,864,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-10,train,6,717,933,685,864,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-47,train,7,661,599,833,538,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-19,train,7,661,599,833,538,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-02,train,8,640,892,940,601,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-37,train,8,640,892,940,601,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-25,train,9,637,791,614,684,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-14,train,9,637,791,614,684,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-44,train,10,821,705,802,557,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-07,train,10,821,705,802,557,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-32,train,11,533,907,656,902,bit_zero,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
round_n_trace_audit,target,N2-20,train,11,533,907,656,902,bit_one,trace_only,none,none,,,,counterfactual_pair,pass,not_policy_input,pass
