artifact,policy,fresh_contexts,charged_cost,resource_regret,models_eliminated,trace_digest,verdict
round_ab_ab2,disagreement,48,160,612,12,0x76307ab24178551c,VALID_NEGATIVE:multiple_executable_models_and_disagreement_are_real_but_VM_decoder_signed_output_and_tape_boundary_install_answer_form
round_ab_ab2,random,48,206,677,12,0xb9683d76e0b497c7,CONTROL:equal_fresh_contexts
round_ab_ab2,fixed,48,192,595,12,0xc61035952fbaafc1,CONTROL:equal_fresh_contexts
round_ab_ab2,replay,48,216,576,12,0x460ce387812b2245,CONTROL:equal_fresh_contexts
round_ab_ab2,cheapest,48,48,586,12,0x549f1bb5c90a3eb5,CONTROL:equal_fresh_contexts
round_ab_ab2,frequency,48,48,586,12,0x549f1bb5c90a3eb5,CONTROL:equal_fresh_contexts
round_ab_ab2,single_model,48,186,627,12,0x167dc21f514acdb5,CONTROL:equal_fresh_contexts
round_ab_ab2,equal_size,48,160,612,12,0x76307ab24178551c,CONTROL:equal_fresh_contexts
round_ab_ab2,shuffled,48,200,806,12,0x31973fbfd09c447b,CONTROL:direction_or_model_removed
round_ab_ab2,false_models,48,272,681,12,0xfe6798869cefd420,CONTROL:direction_or_model_removed
round_ab_ab2,ablated,48,206,677,0,0xb9683d76e0b497c7,CONTROL:direction_or_model_removed
round_ab_ab2,recoded,48,202,656,12,0xe221e3e4abc0f65b,CONTROL:equal_fresh_contexts
round_ab_ab2,relocated,48,160,612,12,0x76307ab24178551c,CONTROL:equal_fresh_contexts
round_ab_ab2,resegmented,48,136,690,12,0x9eace43dc31a7e68,CONTROL:equal_fresh_contexts
round_ab_ab2,oracle,48,180,0,12,0xa5ae5164cd8b96cd,INVALID_ORACLE:evaluator_private_ceiling
round_ab_ab2,attack_fixed_model_grammar_decoder,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_ab_ab2,attack_human_component_geometry,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_ab_ab2,attack_evaluator_read,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_ab_ab2,attack_evaluator_rewrite,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_ab_ab2,attack_answer_transcript,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_ab_ab2,attack_duplicate_evidence,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_ab_ab2,attack_favorable_context,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_ab_ab2,attack_bloat,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_ab_ab2,attack_post_test_selection,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_ab_ab2,attack_freeze_edit,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_ab_ab2,attack_nondeterminism,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_ab_ab2,attack_llm_text_embedding,0,0,0,0,0x0,CONTROL_PASS:fail_closed
