n,label,bits,seed_hex
203134444,HELDOUT,28,0x4BD9C10F9A08489B
796832860269,HELDOUT,40,0x07581B1F7C505AD6
199000391681,HELDOUT,38,0xA3534BE11C01D81C
31743527874,HELDOUT,35,0xCEAA7CA5E15253DC
42638880,HELDOUT,26,0xE11A0A3CEFBC949C
10369780,HELDOUT,24,0x7E8AF2DE85307CCA
168568595065,HELDOUT,38,0x81E9D84BA903E5D5
73762772,HELDOUT,27,0xE540782584ACA91B
24379472,HELDOUT,25,0x04D5682E4537D237
59884306795,HELDOUT,36,0x827A44B4509902F3
185555106356,HELDOUT,38,0xAC15B742BD007A2A
1553443538,HELDOUT,31,0x4B49DC40446B8EC7
8517823,HELDOUT,24,0xF38D976D1F35AD6D
929279036,HELDOUT,30,0x8D1F5004F1426DA6
13021961403,HELDOUT,34,0xBE64FD34B4676EA4
10647169,HELDOUT,24,0x86C7C56FAD844B9B
8929604804,HELDOUT,34,0x8E6C85887F9745CC
15390713,HELDOUT,24,0x98789835009F1244
2885016031,HELDOUT,32,0x32D004F071297B9D
16702298,HELDOUT,24,0x33DF750E10AC3FB1
8301558012,HELDOUT,33,0xFD7BC50B1D9CB393
2985004095,HELDOUT,32,0xDAA38DBCC173383B
10274970795,HELDOUT,34,0x632C27035AEE5387
3304952788,HELDOUT,32,0x25EAB88544ECED6C
66680237,HELDOUT,26,0x7B0D2CC31D151C7F
42206557336,HELDOUT,36,0xDC86A44A77A44780
393017932,HELDOUT,29,0x5D1039E7193068B4
9056539,HELDOUT,24,0x2AE4771C23DB61D9
111793800,HELDOUT,27,0x1189D00E951437B1
50907832617,HELDOUT,36,0x5C36FE1EC18A337A
1222096396,HELDOUT,31,0xE2A038DF72A68B3D
108912250,HELDOUT,27,0xB4D01D611B744AC8
975460087,HELDOUT,30,0x3AC48CA8C507D099
12779222,HELDOUT,24,0x3E647A57B0B0EBF6
2825081218,HELDOUT,32,0xB88B302B2025FAE1
899467972997,HELDOUT,40,0x47CC3E501365AA4E
17881871483,HELDOUT,35,0x7E87D60E146C6081
530329198,HELDOUT,29,0x64615326A738729B
389751675,HELDOUT,29,0x90A80B958869AEDD
16841209300,HELDOUT,34,0x869A1B721DD8C0DF
2029703758,HELDOUT,31,0xE4668B683E755A26
1189643546,HELDOUT,31,0x8388E28D3174E729
615746404947,HELDOUT,40,0x2168723AB6FE186D
258664707559,HELDOUT,38,0x4BC5DE2CF743BA2C
37176428,HELDOUT,26,0x861B1442EB2CBAAB
44332775260,HELDOUT,36,0x1AD46049AC6D85C5
314118886,HELDOUT,29,0x6DAABFE9573D24B9
55906446598,HELDOUT,36,0x8B2EB73C79B0EFAB
61488996,HELDOUT,26,0x07AF23A205EE82A3
58634730991,HELDOUT,36,0xCD1C01B914CC101A
1840361544,HELDOUT,31,0xF771C9CBD6110471
6335494068,HELDOUT,33,0x46015DBF33F41E5A
461415905927,HELDOUT,39,0xB491CFB9ECF7FB2E
485378774,HELDOUT,29,0x3A1758960E2B3551
25413781,HELDOUT,25,0x34C9909B02F28122
1046314686377,HELDOUT,40,0x9BBFDE99FBAE8A5D
379036360244,HELDOUT,39,0x2E6AB33392838176
137006522,HELDOUT,28,0x6F83F47125C09039
16760368342,HELDOUT,34,0xC8C72FD6D4E1AB50
219363570,HELDOUT,28,0xB554FA8FD3DB7C11
