artifact,policy,charged_raw_contacts,hidden_shifted_material,perfect_hidden_cohorts,provenance_commits,verdict
round_am_am2,earned_topology,1536,24960,96,96,FOUNDATION_POSITIVE:earned_intervention_to_later_dependency_topology_selects_relevant_history_after_private_recoding_and_causal_law_shift
round_am_am2,fixed_graph,1536,9100,35,0,CONTROL:equal_budget_fixed_predeclared_topology
round_am_am2,fixed_effect_vector,1536,1560,6,0,CONTROL:equal_budget_static_pre_shift_effect_vector
round_am_am2,last_outcome,1536,8320,32,0,CONTROL:last_outcome_router
round_am_am2,fixed_schedule,1536,9100,35,0,CONTROL:fixed_schedule_motif
round_am_am2,random,1536,8060,31,0,CONTROL:generic_unrecorded_variation
round_am_am2,replay,1536,8320,32,0,CONTROL:previous_cohort_replay
round_am_am2,shuffled_history,1536,10400,40,0,CONTROL:provenance_shuffled_across_anonymous_cohorts
round_am_am2,answer_memory,1536,8060,31,0,CONTROL:answer_memory_is_scrubbed_and_carries_no_trace
round_am_am2,topology_ablated,1536,8060,31,0,CONTROL:earned_topology_removed
round_am_am2,label_attack,1536,24960,96,0,ATTACK_PASS:no_label_regime_key_target_task_menu_or_evaluator_feedback_is_read_or_stored
round_am_am2,answer_scrub_attack,1536,8060,31,0,ATTACK_PASS:opaque_continuations_and_all_answer_like_state_scrubbed
round_am_am2,provenance_attack,1536,24960,96,0,ATTACK_PASS:only_append_only_generic_trace_digest_is_committed
round_am_am2,world_overlap_attack,1536,24960,96,0,ATTACK_PASS:experience_and_shifted_query_use_disjoint_literals_and_world_nonces
round_am_am2,audit,0,0,0,0,CONTROL_PASS:earned_topology_strictly_beats_fixed_graph_fixed_vector_last_outcome_fixed_schedule_random_replay_shuffled_answer_memory_and_ablation_at_equal_16_contacts_per_cohort
round_am_am2,audit,0,0,0,0,CONTROL_PASS:topology_is_earned_only_from_generic_intervention_to_later_dependency_traces; no_supplied_graph_or_regime_key
round_am_am2,audit,0,0,0,0,ATTACK_PASS:no_labels_targets_answers_task_menu_intermediate_score_uncertainty_or_evaluator_feedback_crosses_the_boundary
round_am_am2,audit,0,0,0,0,LIMIT:bounded_synthetic_raw_transport_and_dependency_count_are_trusted_substrate; not_open_ended_autonomy_or_hostile_containment
round_am_am2,audit,0,0,0,0,FOUNDATION_POSITIVE:only_for_this_sealed_deterministic_hidden_recoded_causal_shift_family
