artifact,partition,case,events,energy,bytes,ticks,confidence,digest,verdict
round_z_z1,baseline,complete_lineage,12,36,142,60,0,0xe8b3b1a996edb878,FOUNDATION:traceability_only_not_causality
round_z_z1,evidence,removal,1,4,12,7,20,0x0,EARNED:independent_intervention
round_z_z1,evidence,restoration,1,5,12,8,40,0x0,EARNED:independent_counterfactual
round_z_z1,evidence,sibling,1,6,12,9,55,0x0,EARNED:independent_counterfactual
round_z_z1,evidence,transfer,1,7,12,10,80,0x0,EARNED:fresh_world_transfer
round_z_z1,evidence,false_correlation,4,0,0,0,0,0x0,DEMOTED:temporal_correlation_has_no_credit
round_z_z1,attack,missing_link,1,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_z_z1,attack,reordered_events,1,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_z_z1,attack,forged_parent,1,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_z_z1,attack,hash_alias,1,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_z_z1,attack,duplicate_evidence,1,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_z_z1,attack,causal_correlation_confusion,1,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_z_z1,attack,answer_leak,1,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_z_z1,attack,observer_influence,1,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_z_z1,attack,cost_deletion,1,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_z_z1,attack,post_freeze_edit,1,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_z_z1,attack,replay_nondeterminism,1,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_z_z1,closure,aggregate,12,36,142,60,80,0xe8b3b1a996edb878,DONE:causal_xray_instrument_foundation_no_intelligence_claim
