artifact,partition,policy,charged_work,old_resource,new_resource,ablated_resource,bootstrap_survivors,proposer_replacements,commits,rollbacks,lineage_hash,verdict
round_ac_ac2,transfer,ecology,8640,93563,101963,93563,336,50,24,0,0xad89ba920976c025,LIMITED_POSITIVE:self_emitted_proposers_replace_proposers_and_improve_fresh_resource
round_ac_ac2,transfer,ablated,0,93563,93563,93563,0,0,0,24,0x0,CONTROL_PASS:proposer_ablation_returns_old_resource
round_ac_ac2,transfer,fixed,0,93563,93563,93563,0,0,0,24,0x0,CONTROL:fixed_bootstrap
round_ac_ac2,transfer,random,8640,93563,101195,93563,341,44,22,2,0x31588ee62be08fa6,CONTROL:equal_generation_random_proposers
round_ac_ac2,transfer,replay,8640,93563,101795,93563,335,55,22,2,0x1212feb2922691c,CONTROL:equal_generation_bootstrap_replay
round_ac_ac2,transfer,shuffled,8640,93563,101315,93563,340,45,24,0,0x6e1a116dee1e1982,CONTROL:shuffled_proposer_victim_binding
round_ac_ac2,transfer,false_evidence,8640,93563,93563,93563,313,72,0,24,0xe635ee73b293b7f4,CONTROL_PASS:false_evidence_rolls_back_fresh_harm
round_ac_ac2,transfer,relocated,8640,93563,102035,93563,342,43,24,0,0x6853d84692f5c82b,ATTACK:relocated_raw_tape
round_ac_ac2,transfer,recoded,8640,93563,102155,93563,324,60,24,0,0x8c649fbb76ad6fe5,ATTACK:value_recoded_raw_tape
round_ac_ac2,transfer,resegmented,8640,93563,101723,93563,333,51,22,2,0xc4b8609e2ffe6724,ATTACK:resegmented_instruction_fetch
round_ac_ac2,transfer,oracle,0,93563,184307,93563,0,0,24,0,0x0,INVALID_ORACLE:evaluator_private_ceiling
round_ac_ac2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:no_llm_text_token_embedding_neural_or_neurosymbolic_path
round_ac_ac2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:no_external_candidate_table_operator_menu_or_target_trace
round_ac_ac2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:human_bootstrap_has_no_survival_privilege
round_ac_ac2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:all_candidate_execution_and_calibration_work_charged
round_ac_ac2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:lineage_records_parent_victim_generation_and_effect
round_ac_ac2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:fresh_evaluator_worlds_sealed_until_commit_or_rollback
round_ac_ac2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:causal_ablation_returns_exact_old_resource
round_ac_ac2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:host_vm_defines_instruction_meanings_and_fixed_genome_width
round_ac_ac2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:host_loop_defines_parent_victim_and_whole_genome_replacement
round_ac_ac2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:resegmentation_is_not_functionally_reconstructed
round_ac_ac2,closure,aggregate,8640,93563,101963,93563,336,50,24,0,0xad89ba920976c025,VALID_NEGATIVE:self_producing_proposal_ecology_has_causal_gain_but_host_vm_and_replacement_loop_are_hidden_generator
