artifact,experiment,policy,admission,charged_ticks,material_in,material_out,conserved,state_hash,verdict
round_ah_ah1,uniform_medium,raw_random,admitted,4608,384,384,1,0x5205b1c497a4a83d,VALID_NEGATIVE:uniform_medium_runs_but_no_spontaneous_organism_claim
round_ah_ah1,uniform_medium,raw_static,admitted,4608,384,384,1,0xde60c4c2a9c105ce,CONTROL:equal_material_static_medium
round_ah_ah1,uniform_medium,equal_material_random,admitted,4608,384,384,1,0x5205b1c497a4a83d,CONTROL:equal_material_random_medium
round_ah_ah1,uniform_medium,fixed_template,admitted,4608,384,384,1,0xaa2fec9470f3a867,CONTROL_NEGATIVE:host_fixed_template_is_exterior_only_not_organism
round_ah_ah1,uniform_medium,forbidden_score,blocked,0,0,0,1,0x0,CONTROL_PASS:forbidden_capability_blocked_before_world_creation
round_ah_ah1,uniform_medium,forbidden_decoder,blocked,0,0,0,1,0x0,CONTROL_PASS:forbidden_capability_blocked_before_world_creation
round_ah_ah1,uniform_medium,forbidden_template,blocked,0,0,0,1,0x0,CONTROL_PASS:forbidden_capability_blocked_before_world_creation
round_ah_ah1,uniform_medium,forbidden_candidate,blocked,0,0,0,1,0x0,CONTROL_PASS:forbidden_capability_blocked_before_world_creation
round_ah_ah1,uniform_medium,forbidden_repair,blocked,0,0,0,1,0x0,CONTROL_PASS:forbidden_capability_blocked_before_world_creation
round_ah_ah1,uniform_medium,forbidden_boundary,blocked,0,0,0,1,0x0,CONTROL_PASS:forbidden_capability_blocked_before_world_creation
round_ah_ah1,uniform_medium,forbidden_scheduler,blocked,0,0,0,1,0x0,CONTROL_PASS:forbidden_capability_blocked_before_world_creation
round_ah_ah1,audit,hostile,blocked,0,0,0,1,0x0,AUDIT_PASS:all_sites_call_one_identical_localLaw
round_ah_ah1,audit,hostile,blocked,0,0,0,1,0x0,AUDIT_PASS:Matter_has_no_identity_boundary_tag_callback_or_function_pointer
round_ah_ah1,audit,hostile,blocked,0,0,0,1,0x0,AUDIT_PASS:no_score_target_reward_decoder_execute_observation_action_or_candidate_channel_reaches_medium
round_ah_ah1,audit,hostile,blocked,0,0,0,1,0x0,AUDIT_PASS:seed_template_repair_boundary_and_scheduler_attempts_blocked_preallocation
round_ah_ah1,audit,hostile,blocked,0,0,0,1,0x0,AUDIT_PASS:evaluator_writes_only_after_run_and_never_feeds_result_back
round_ah_ah1,audit,hostile,blocked,0,0,0,1,0x0,RESIDUAL_EXTERIOR:uniform_transport_law_finite_grid_ticks_and_random_initial_distribution_are_host_physics
round_ah_ah1,audit,hostile,blocked,0,0,0,1,0x0,VALID_NEGATIVE:exclusion_infrastructure_not_evidence_of_spontaneous_life_or_open_ended_intelligence
