artifact,stage,anonymous_case,condition,mechanism,prediction,failure_signature,candidate_measurement,candidate_material,provenance_receipt,contradiction_status,charged_call,arm,detail
round_r_r3,refine,anonymous_case,observable_aggregate_residual,retain_aggregate_structure,predict_aggregate_improvement,aggregate_mismatch,compare_observed_aggregate,compose_aggregate_primitive,fixture_capture:public_counting_note:sha256_a18c,supported,1,structured_refinery,typed_falsifiable_claim
round_r_r3,calibration,anonymous_case,observable_aggregate_residual,select_aggregate_mechanism,predict_aggregate_improvement,aggregate_mismatch,compare_observed_aggregate,compose_aggregate_primitive,fixture_capture:public_counting_note:sha256_a18c,supported,1,structured_refinery,precommitted_calibration_choice
round_r_r3,calibration,anonymous_case,observable_aggregate_residual,select_aggregate_mechanism,predict_aggregate_improvement,aggregate_mismatch,compare_observed_aggregate,compose_aggregate_primitive,fixture_capture:public_counting_note:sha256_a18c,supported,1,raw_retrieval,precommitted_calibration_choice
round_r_r3,calibration,anonymous_case,observable_aggregate_residual,select_aggregate_mechanism,predict_aggregate_improvement,aggregate_mismatch,compare_observed_aggregate,compose_aggregate_primitive,fixture_capture:public_counting_note:sha256_a18c,supported,1,frozen_prior,precommitted_calibration_choice
round_r_r3,refine,anonymous_case,observable_relation_residual,retain_relation_structure,predict_relation_improvement,relation_mismatch,compare_observed_relation,compose_relation_primitive,fixture_capture:public_relation_note:sha256_b72d,supported,1,structured_refinery,typed_falsifiable_claim
round_r_r3,calibration,anonymous_case,observable_relation_residual,select_relation_mechanism,predict_relation_improvement,relation_mismatch,compare_observed_relation,compose_relation_primitive,fixture_capture:public_relation_note:sha256_b72d,supported,1,structured_refinery,precommitted_calibration_choice
round_r_r3,calibration,anonymous_case,observable_relation_residual,select_aggregate_mechanism,predict_aggregate_improvement,relation_mismatch,compare_observed_aggregate,compose_aggregate_primitive,fixture_capture:public_counting_note:sha256_a18c,supported,1,raw_retrieval,precommitted_calibration_choice
round_r_r3,calibration,anonymous_case,observable_relation_residual,select_aggregate_mechanism,predict_aggregate_improvement,relation_mismatch,compare_observed_aggregate,compose_aggregate_primitive,fixture_capture:public_counting_note:sha256_a18c,supported,1,frozen_prior,precommitted_calibration_choice
round_r_r3,refine,anonymous_case,observable_transition_residual,retain_transition_structure,predict_transition_improvement,transition_mismatch,compare_observed_transition,compose_transition_primitive,fixture_capture:public_sequence_note:sha256_c904,supported,1,structured_refinery,typed_falsifiable_claim
round_r_r3,calibration,anonymous_case,observable_transition_residual,select_transition_mechanism,predict_transition_improvement,transition_mismatch,compare_observed_transition,compose_transition_primitive,fixture_capture:public_sequence_note:sha256_c904,supported,1,structured_refinery,precommitted_calibration_choice
