artifact,policy,charged_raw_contacts,private_transfer_material,perfect_hidden_cohorts,provenance_commits,verdict
round_am_am1,learned_motif,576,8448,64,64,VALID-NEGATIVE:earned_delayed_motif_ties_fixed_temporal_matcher
round_am_am1,fixed_effect_vector,576,2409,14,0,CONTROL:fixed_static_effect_vector
round_am_am1,last_outcome,576,2409,14,0,CONTROL:last_outcome_matcher
round_am_am1,fixed_temporal_motif,576,8448,64,0,CONTROL:fixed_temporal_motif_and_schedule
round_am_am1,random,576,1089,0,0,CONTROL:generic_random_schedule
round_am_am1,replay,576,660,5,0,CONTROL:previous_cohort_trace_replay
round_am_am1,shuffled_history,576,1188,9,0,CONTROL:provenance_shuffled_history
round_am_am1,answer_memory,576,1089,0,0,CONTROL:answer_scrubbed_no_schedule_or_target_trace
round_am_am1,motif_ablated,576,1089,0,0,CONTROL:motif_record_ablated
round_am_am1,recoded_attack,576,8448,64,0,ATTACK_PASS:private_value_recode_no_literal_overlap
round_am_am1,law_shift_attack,576,924,7,0,ATTACK:causal_law_shift_relearn_not_available_to_frozen_record
round_am_am1,overlap_audit,576,8448,64,0,ATTACK_PASS:query_nonce_encoding_and_contacts_disjoint_from_earned_trace
round_am_am1,audit,0,0,0,0,PROVENANCE:records_contain_only_delayed_equality_change_motif_schedule_and_hash
round_am_am1,audit,0,0,0,0,ANSWER-SCRUB:source_has_no_target_answer_trace_label_semantic_decoder_router_or_feedback
round_am_am1,audit,0,0,0,0,FAILURE:fixed_temporal_motif_and_schedule_ties_exactly_under_recoding
round_am_am1,audit,0,0,0,0,LIMIT:the_harness_supplies_three-step_window_equality_comparison_and_schedule_field
round_am_am1,audit,0,0,0,0,VALID-NEGATIVE:not_a_foundation_positive_not_autonomy
