class,a,b,hamming
related,gravity,mass,336
related,star,planet,343
related,dog,animal,343
related,red,color,364
related,fire,heat,279
related,water,liquid,373
related,book,page,307
related,sun,day,234
related,moon,night,277
related,tree,forest,344
related,car,wheel,347
related,apple,fruit,327
related,doctor,patient,281
related,river,flow,346
related,bird,fly,285
related,ocean,wave,353
related,mountain,peak,379
related,snow,cold,310
related,music,song,279
related,light,bulb,474
related,baby,child,264
related,key,lock,323
related,bread,wheat,392
related,horse,saddle,322
related,gun,bullet,353
related,pen,write,324
related,bee,honey,382
related,shoe,foot,349
related,door,room,242
related,window,glass,269
related,clock,time,262
related,map,direction,333
related,piano,music,369
related,pencil,draw,402
related,rain,wet,314
related,desert,sand,335
related,knife,cut,273
related,table,chair,249
related,forest,leaf,403
related,bear,cave,363
related,cow,milk,358
related,chicken,egg,389
related,knee,leg,331
related,ankle,foot,408
related,eye,vision,333
related,ear,sound,250
related,nose,smell,287
related,mouth,taste,298
related,hand,finger,245
related,heart,blood,189
related,brain,thought,256
related,lung,breath,472
related,stomach,food,300
related,skin,touch,282
related,bone,skeleton,349
related,tongue,lick,370
related,ship,sea,195
related,engine,motor,338
related,cup,coffee,320
related,spoon,soup,368
related,fork,pasta,512
related,plate,dinner,342
related,pan,cook,403
related,oven,bake,257
related,fridge,cold,512
related,ice,freeze,401
related,smoke,fire,272
related,ash,burn,385
related,candle,wax,354
related,match,spark,353
related,hammer,nail,342
related,saw,wood,262
related,drill,hole,432
related,screw,twist,312
related,bolt,nut,396
related,chain,link,371
related,rope,knot,341
related,net,fish,371
related,hook,bait,352
related,boat,row,320
related,sail,wind,277
related,anchor,harbor,343
related,shore,beach,345
related,cliff,fall,382
related,valley,low,363
related,hill,climb,374
related,summit,top,347
related,cave,dark,372
related,tunnel,underground,247
overlap,gravity,granite,400
overlap,star,stare,385
overlap,star,starch,406
overlap,car,card,374
overlap,car,carbon,402
overlap,cat,cap,346
overlap,cat,cane,387
overlap,cat,case,307
overlap,dog,does,292
overlap,red,read,269
overlap,red,reed,427
overlap,moon,mood,345
overlap,moon,moor,322
overlap,tree,trek,512
overlap,tree,trend,425
overlap,sun,sung,344
overlap,book,boot,326
overlap,book,boost,512
overlap,fire,firm,279
overlap,fire,first,226
overlap,water,wafer,482
overlap,water,wager,390
overlap,bird,birch,393
overlap,bird,birth,292
overlap,horse,horde,465
overlap,horse,horror,320
overlap,pen,pet,361
overlap,pen,pew,389
overlap,key,keg,417
overlap,gun,gum,397
overlap,gun,gust,399
overlap,bread,breed,337
overlap,bread,breath,320
overlap,breath,breach,351
overlap,snow,snore,427
overlap,snow,snob,512
overlap,glass,glade,400
overlap,glass,gland,433
overlap,glass,glare,397
overlap,light,litmus,492
overlap,rain,rang,367
overlap,rain,rank,307
overlap,rain,range,387
overlap,bear,beat,230
overlap,bear,bead,464
overlap,bear,beak,456
overlap,knee,knew,317
overlap,knife,knight,316
overlap,knife,knit,348
overlap,mouth,mound,468
overlap,mouth,mourn,342
overlap,nose,nosy,512
overlap,nose,nominal,419
overlap,bone,bond,366
overlap,bone,bonus,456
overlap,hair,haiku,512
overlap,hair,hail,347
overlap,ship,shin,330
overlap,ship,shift,317
overlap,ship,shirt,285
overlap,engine,engulf,512
overlap,engine,engrave,332
overlap,bike,bilk,512
overlap,bike,bind,512
overlap,map,mar,402
overlap,map,mash,383
overlap,ski,skim,188
overlap,ski,skin,428
overlap,ski,skill,423
overlap,boat,boast,315
overlap,boat,boa,453
overlap,hill,hilt,415
overlap,hill,hilum,512
overlap,shore,shorn,453
overlap,shore,short,286
overlap,candle,candor,421
overlap,candle,candy,408
overlap,match,math,512
overlap,match,matte,512
overlap,hammer,hamper,399
overlap,drill,drilling,143
overlap,rope,rove,427
overlap,rope,rosy,369
overlap,fork,form,366
overlap,fork,fort,370
overlap,plate,plait,402
overlap,plate,plait,402
