artifact,partition,policy,worlds,trial_budget,resource_total,viable_worlds,reproduced_worlds,selected_fragments,mask,verdict
round_y_y3,fresh_postfreeze,consolidated,64,192,5214,64,64,6,0x275,VALID_NEGATIVE:supplied_fragment_boundary_and_add_remove_axis_install_credit_geometry
round_y_y3,fresh_postfreeze,correlation,64,192,4866,64,64,6,0x6f,CONTROL
round_y_y3,fresh_postfreeze,size,64,192,3306,64,15,6,0x8bc,CONTROL
round_y_y3,fresh_postfreeze,novelty,64,192,2255,54,0,6,0xb13,CONTROL
round_y_y3,fresh_postfreeze,survival,64,192,4876,64,64,6,0x26d,CONTROL
round_y_y3,fresh_postfreeze,random,64,192,2678,62,0,6,0x9d4,CONTROL
round_y_y3,fresh_postfreeze,replay,64,192,4909,64,64,6,0x7d,CONTROL
round_y_y3,fresh_postfreeze,shuffled_lineage,64,192,2409,60,0,6,0x6a9,CONTROL
round_y_y3,fresh_postfreeze,supplied_best_ceiling,64,192,5214,64,64,6,0x275,INVALID_ORACLE_CONTROL:supplied_best_fragment_ceiling
round_y_y3,fresh_postfreeze,removed,64,192,4137,64,63,5,0x235,CAUSAL_ABLATION:highest_contribution_fragment_removed
round_y_y3,fresh_postfreeze,recombined,64,192,5214,64,64,6,0x275,CONTROL:recombination_reearned_by_fresh_paired_trials
round_y_y3,attack,evaluator_leak,1,192,0,0,0,0,0x0,CONTROL_PASS:no_private_world_state_or_component_score_visible
round_y_y3,attack,ledger_rewrite,1,192,0,0,0,0,0x0,CONTROL_PASS:evaluator_owned_resource_history_immutable
round_y_y3,attack,transcript_answer_memory,1,192,0,0,0,0,0x0,CONTROL_PASS:rune_contains_fragment_digest_lineage_conditions_cost_only
round_y_y3,attack,duplicate_evidence,1,192,0,0,0,0,0x0,CONTROL_PASS:independent_world_digest_required
round_y_y3,attack,interaction_masking,12,192,0,0,0,0,0x0,CONTROL_PASS:forward_add_backward_remove_repeated_three_rounds
round_y_y3,attack,contradiction,12,192,0,0,0,0,0x0,CONTROL_PASS:nonpositive_postrecombine_contribution_demotes_or_retires
round_y_y3,attack,bloat,1,192,0,0,0,0,0x0,CONTROL_PASS:every_fragment_byte_charged
round_y_y3,attack,post_freeze_edit,1,192,0,0,0,0,0x0,CONTROL_PASS:frozen_mask_and_fragment_digests_rechecked
round_y_y3,attack,encoding,64,192,0,0,0,0,0x0,CONTROL_PASS:effects_bound_to_fragment_digest_not_storage_address
round_y_y3,attack,hidden_contribution_score,1,192,0,0,0,0,0x0,CONTROL_FAIL:add_remove_boundary_and_signed_resource_delta_are_human_supplied_credit_axis
round_y_y3,attack,llm_text_embedding,1,192,0,0,0,0,0x0,CONTROL_PASS:no_language_neural_embedding_or_symbolic_feature_path
round_y_y3,closure,aggregate,64,192,5214,64,64,6,0x275,VALID_NEGATIVE:causal_consolidation_works_only_inside_supplied_fragment_credit_geometry
