protocol,record_type,arm,target_token,split,base_global,base_directed,base_residual,action,proposal,reply_score,charged_call,charged_total,private_field_scan,token_rename,order_permutation,duplicate_attack,test_label_access,verdict
round_o_probe_audit,call,policy_probe,O3-T07,train,509,599,617,candidate_probe,bit_zero,12,1,1,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T07,train,509,599,617,candidate_probe,bit_one,8,2,2,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T07,train,509,599,617,candidate_probe,bit_zero,12,3,3,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T02,train,509,599,617,candidate_probe,bit_zero,8,4,4,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T02,train,509,599,617,candidate_probe,bit_one,12,5,5,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T02,train,509,599,617,candidate_probe,bit_zero,8,6,6,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T10,train,643,786,774,candidate_probe,bit_zero,12,7,7,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T10,train,643,786,774,candidate_probe,bit_one,8,8,8,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T10,train,643,786,774,candidate_probe,bit_zero,12,9,9,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T01,train,643,786,774,candidate_probe,bit_zero,8,10,10,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T01,train,643,786,774,candidate_probe,bit_one,12,11,11,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T01,train,643,786,774,candidate_probe,bit_zero,8,12,12,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T09,train,718,715,749,candidate_probe,bit_zero,12,13,13,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T09,train,718,715,749,candidate_probe,bit_one,8,14,14,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T09,train,718,715,749,candidate_probe,bit_zero,12,15,15,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T04,train,718,715,749,candidate_probe,bit_zero,8,16,16,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T04,train,718,715,749,candidate_probe,bit_one,12,17,17,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T04,train,718,715,749,candidate_probe,bit_zero,8,18,18,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T11,train,539,717,761,candidate_probe,bit_zero,12,19,19,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T11,train,539,717,761,candidate_probe,bit_one,8,20,20,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T11,train,539,717,761,candidate_probe,bit_zero,12,21,21,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T00,train,539,717,761,candidate_probe,bit_zero,8,22,22,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T00,train,539,717,761,candidate_probe,bit_one,12,23,23,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,policy_probe,O3-T00,train,539,717,761,candidate_probe,bit_zero,8,24,24,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T07,train,509,599,617,candidate_probe,bit_zero,12,1,1,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T07,train,509,599,617,candidate_probe,bit_zero,12,2,2,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T07,train,509,599,617,candidate_probe,bit_zero,12,3,3,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T02,train,509,599,617,candidate_probe,bit_zero,8,4,4,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T02,train,509,599,617,candidate_probe,bit_zero,8,5,5,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T02,train,509,599,617,candidate_probe,bit_zero,8,6,6,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T10,train,643,786,774,candidate_probe,bit_zero,12,7,7,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T10,train,643,786,774,candidate_probe,bit_zero,12,8,8,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T10,train,643,786,774,candidate_probe,bit_zero,12,9,9,pass,pass,pass,counterfactual_pair,no,pass
round_o_probe_audit,call,fixed_menu,O3-T01,train,643,786,774,candidate_probe,bit_zero,8,10,10,pass,pass,pass,counterfactual_pair,no,pass
