artifact,partition,policy,charged_work,baseline_resource,fresh_resource,ablated_resource,boundary_revisions,replications,lineage_hash,verdict
round_ag_ag2,endogenous_boundary,mutable_lineage,1344,16197,21807,16197,552,552,0x14c70b5f4f48e5a2,LIMITED_RESULT:host_proposed_mutable_tag_lineage_persists_and_replicates
round_ag_ag2,endogenous_boundary,ablated,1344,16197,16197,16197,0,0,0xd68febeea7629930,CONTROL_PASS:boundary_ablation_returns_baseline
round_ag_ag2,endogenous_boundary,raw_random,1344,16197,16122,16197,262,262,0xceeae77e1bdc2380,CONTROL:equal_material_time_raw_random
round_ag_ag2,endogenous_boundary,replay,1344,16197,16167,16197,291,291,0x2e0fc918db21dd7f,CONTROL:equal_material_time_replay
round_ag_ag2,endogenous_boundary,static_matter,1344,16197,16197,16197,0,0,0xd68febeea7629930,CONTROL:static_matter
round_ag_ag2,endogenous_boundary,fixed_template,1344,16197,16197,16197,248,248,0x3f439cc64ccfea69,CONTROL:fixed_template
round_ag_ag2,endogenous_boundary,copied_template,1344,16197,16197,16197,248,248,0x3f439cc64ccfea69,CONTROL_FAIL:bloat_copied_template_does_not_create_boundary
round_ag_ag2,endogenous_boundary,shuffled_lineage,1344,16197,16005,16197,246,246,0x4cf63d3c61bc03e6,CONTROL:shuffled_lineage
round_ag_ag2,endogenous_boundary,false_lineage,1344,16197,10449,16197,0,0,0x40ecf1b15830995d,CONTROL_PASS:false_lineage_cannot_persist
round_ag_ag2,endogenous_boundary,relocated,1344,16098,21900,16098,557,557,0x98c43c4d072d11f6,ATTACK:private_address_relocation
round_ag_ag2,endogenous_boundary,recoded,1344,16152,21930,16152,560,560,0xd3b50c897bf42cb1,ATTACK:private_value_recoding
round_ag_ag2,endogenous_boundary,resegmented,1344,16083,21735,16083,547,547,0x23c716a30052b2c4,ATTACK:private_resegmentation
round_ag_ag2,endogenous_boundary,changed_medium,1344,16206,21903,16206,551,551,0xc7d7a3c442ef0814,ATTACK:private_changed_medium
round_ag_ag2,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_PASS:no_llm_text_token_embedding_neural_or_neurosymbolic_process
round_ag_ag2,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_FAIL:hostProposeBoundary_defines_tag_language_candidate_generator_and_revision_schedule
round_ag_ag2,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_FAIL:hostViability_defines_scan_comparison_and_resource_fitness_scalar
round_ag_ag2,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_FAIL:host_schedules_replication_and_lineage_accounting
round_ag_ag2,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_FAIL:raw_cell_array_and_identity_preserving_transport_are_host_architecture
round_ag_ag2,attack,hostile,0,0,0,0,0,0,0x0,VALID_NEGATIVE:result_is_bounded_host_selected_adaptation_not_endogenous_boundary_birth
round_ag_ag2,closure,aggregate,1344,16197,21807,16197,552,552,0x14c70b5f4f48e5a2,VALID_NEGATIVE:boundary_and_reproduction_depend_on_host_template_scan_and_fitness
