artifact,kind,attempt,result,mutant_visible_scalar,charged_ticks,detail
round_ah_ah2,manifest,medium_only,pass,0,96,raw_cells=32;uniform_local_transport=true;medium_fields=raw,tick;material_hash=0x968ebacf7feb3371
round_ah_ah2,manifest,evaluator_export,pass,0,0,no_evaluator_handle_callback_score_or_receipt_is_mounted
round_ah_ah2,manifest,source_runtime_manifest,pass,0,0,mutant_surface=bounded_raw_state+uniform_local_transport;exterior=evaluator_private_post_run_only
round_ah_ah2,attack,direct_evaluator,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,alias_evaluator,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,indirection_evaluator,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,function_pointer,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,shared_memory,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,filesystem,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,process_spawn,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,ipc_socket,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,scalar_feedback,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,template,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,mutation_menu,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,boundary,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,repair,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,viability,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,reproduction_scheduler,denied,0,0,runtime_capability_gate_returns_no_handle_data_or_feedback
round_ah_ah2,attack,reflected_call,not_applicable_no_reflection,0,0,Zig_has_no_runtime_reflection_or_dynamic_member_lookup_capability
round_ah_ah2,residual,same_process_source,unavailable_same_process_not_security_boundary,0,0,same_uid_compiled_code_can_import_std_and_attempt_memory_files_process_or_ipc;requires_process_uid_container_syscall_boundary
round_ah_ah2,residual,evaluator_scalar,pass,0,0,evaluator_private_struct_is_not_read_or_returned_during_medium_execution;post_run_measurement_not_exported
round_ah_ah2,VERDICT,aggregate,VALID_NEGATIVE,0,96,local_runtime_protocol_blocks_all_mounted_forbidden_capabilities_but_is_not_an_OS_security_boundary;AH2_does_not_unlock_clean_medium_claim
