protocol,target_token,split,global_max,singleton_max,directed_max,adjacency_max,frozen_global_cutoff,predicted_subregion,audit_subregion,correct,unsplit_baseline_prediction,candidate_order_control,mask_control,residue_control,permutation_control,duplicate_trace_control,token_renaming_control,target_id_leakage_control
round_m_trace_only,M2-00,dev,0.640017,0.627747,0.651004,0.673656,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-01,dev,0.826990,0.629833,0.643474,0.613234,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-02,dev,0.830866,0.618545,0.630897,0.622635,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-03,dev,0.649346,0.632819,0.661899,0.687643,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-04,dev,0.835773,0.627003,0.633208,0.614373,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-05,dev,0.648360,0.636930,0.645439,0.688677,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-06,dev,0.640235,0.636528,0.662347,0.687711,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-07,dev,0.834679,0.625550,0.646419,0.618745,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-08,dev,0.836571,0.618905,0.645217,0.616028,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-09,dev,0.649313,0.626340,0.661522,0.686631,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-10,dev,0.650072,0.622261,0.645704,0.679385,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-11,dev,0.840880,0.633037,0.643486,0.607665,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-12,heldout,0.834148,0.616474,0.639925,0.620001,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-13,heldout,0.643680,0.629098,0.648432,0.678397,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-14,heldout,0.647236,0.622506,0.647359,0.683338,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-15,heldout,0.829171,0.627170,0.640514,0.621903,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-16,heldout,0.646905,0.636006,0.651022,0.683695,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-17,heldout,0.833587,0.618311,0.635346,0.610946,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-18,heldout,0.834466,0.621319,0.629542,0.608160,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-19,heldout,0.651855,0.625854,0.660443,0.680404,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-20,heldout,0.640515,0.632893,0.650415,0.687253,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-21,heldout,0.829848,0.629102,0.633522,0.621346,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-22,heldout,0.637255,0.635532,0.652235,0.687561,0.75,diffuse_blank,diffuse_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,M2-23,heldout,0.841563,0.625979,0.630267,0.614468,0.75,near_global_blank,near_global_blank,yes,diffuse_blank,pass,pass,pass,pass,pass,pass,pass
round_m_trace_only,HELDOUT_SUMMARY,heldout,split_accuracy=12/12,unsplit_accuracy=6/12,improvement=6,cutoff=0.75,audit_only,policy_input=PublicTrace_only,split_beats_unsplit,pass,pass,pass,pass,pass,pass
