row_type,method,round_tag,target,reach,solved,unit_id,label,origin,weight,doc_ref
ingredient,hand_curriculum,round-c (pre-arc reference),"distinct-count WALL (9 targets)",6/9,true,I0_opcode,"setup instr opcode (load-immediate)",human,1.00,"conjunction_wall.md: stones hand-designed"
ingredient,hand_curriculum,round-c (pre-arc reference),"distinct-count WALL (9 targets)",6/9,true,I0_operand,"setup operand+register (r6, value=1)",human,1.00,"smart_gen.md: hand noveltyFlagProg uses r6"
ingredient,hand_curriculum,round-c (pre-arc reference),"distinct-count WALL (9 targets)",6/9,true,I1_opcode,"load instr opcode-class (read-from-memory)",human,1.00,"conjunction_wall.md: S1 membership designed"
ingredient,hand_curriculum,round-c (pre-arc reference),"distinct-count WALL (9 targets)",6/9,true,I1_operand,"load operand+register alloc (dest r3, addr r0)",human,1.00,"conjunction_wall.md: S1 hand-designed"
ingredient,hand_curriculum,round-c (pre-arc reference),"distinct-count WALL (9 targets)",6/9,true,I2_opcode,"store instr opcode-class (write-to-memory)",human,1.00,"conjunction_wall.md: S1 hand-designed"
ingredient,hand_curriculum,round-c (pre-arc reference),"distinct-count WALL (9 targets)",6/9,true,I2_operand,"store operand+register alloc (value-src r6)",human,1.00,"smart_gen.md: hand version register alloc"
ingredient,hand_curriculum,round-c (pre-arc reference),"distinct-count WALL (9 targets)",6/9,true,same_addr_rel,"load/store SAME-ADDRESS relational constraint",human,1.00,"conjunction_wall.md: S1 is the RMW sub-conjunction"
ingredient,hand_curriculum,round-c (pre-arc reference),"distinct-count WALL (9 targets)",6/9,true,I3_opcode,"completing instr opcode (xor)",human,1.00,"conjunction_wall.md: S2 noveltyflag = S1 + one instr"
ingredient,hand_curriculum,round-c (pre-arc reference),"distinct-count WALL (9 targets)",6/9,true,I3_operand,"completing operand order + OUT_R wiring (xor(r3,r6))",human,1.00,"smart_gen.md: hand xor(r3,r6)"
method_summary,hand_curriculum,round-c (pre-arc reference),"distinct-count WALL (9 targets)",6/9,true,SUMMARY,"human=9 machine=0 unresolved=0 pending=0",machine_fraction,0.0000,"wcore/docs/research/conjunction_wall.md"
ingredient,D5_blind_bulk,round-2026-07-10d exp5,"distinct-count WALL (9 targets)",0/9,false,I0_opcode,"setup instr opcode (load-immediate)",unresolved,1.00,"auto_curriculum.md: n_payoff_pos=0 all 8 runs, 54,432 behaviours, 0 stones"
