artifact,partition,policy,cohorts,charged_trials,oracle_matches,old_resource,candidate_resource,ablated_resource,verdict
round_aa_aa3,selection,causal,24,4608,24,30680,37640,30680,LIMITED_POSITIVE:earned_intervention_receipts_select_private_causal_target
round_aa_aa3,selection,random,24,4608,5,30680,32456,30680,CONTROL:random_target_equal_selection_budget
round_aa_aa3,selection,frequency,24,4608,12,30680,34319,30680,CONTROL:receipt_frequency_without_effect_magnitude
round_aa_aa3,selection,cost,24,4608,2,30680,31843,30680,CONTROL:cheapest_component
round_aa_aa3,selection,name,24,4608,2,30680,31807,30680,CONTROL:opaque_digest_byte_surrogate
round_aa_aa3,selection,address,24,4608,2,30680,31943,30680,CONTROL:storage_address
round_aa_aa3,selection,fixed,24,4608,2,30680,31943,30680,CONTROL:fixed_storage_slot
round_aa_aa3,selection,oracle,24,4608,24,30680,37640,30680,INVALID_ORACLE_CONTROL:evaluator_private_ceiling
round_aa_aa3,selection,causal_recoded,24,4608,24,30680,37640,30680,CONTROL_PASS:storage_recode_preserves_causal_selection
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:hidden_target_order_permuted_by_cohort_and_absent_from_receipts
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:no_target_names_semantic_labels_or_request_grammar_enter_selection
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:duplicate_receipt_digest_cannot_add_independent_repeat
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:calibration_and_hidden_context_seeds_are_disjoint
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:evaluator_private_bottleneck_and_hidden_scores_have_no_public_channel
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:observer_is_read_only_and_cannot_change_selection
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:old_and_candidate_share_mine_evidence_budget_and_start_snapshot
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:selection_and_candidate_freeze_before_hidden_context_generation
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:target_ablation_returns_candidate_to_old_resource_exactly
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:failed_candidate_rolls_back_to_byte_identical_old_snapshot
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:component_cost_penalizes_bloat_and_all_interventions_are_charged
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:no_llm_text_token_embedding_neural_or_neurosymbolic_path
round_aa_aa3,attack,hostile,1,0,1,0,0,0,CONTROL_PASS:fresh_runs_are_byte_identical
round_aa_aa3,closure,aggregate,24,4608,24,30680,37640,30680,LIMITED_FOUNDATION:self_target_is_earned_and_isolated_but_component_boundaries_and_intervention_axes_are_human_supplied_no_self_improvement_claim
