artifact,transform,policy,charged_calibration_calls,old_fresh_resource,new_fresh_resource,ablated_resource,commits,rollbacks,verdict
round_ae_ae3,native,recovered_record,57600,71596,89950,71596,20,0,BOUNDED_RECOVERY:causal_record_tape_rebuilt_after_private_identity_destruction
round_ae_ae3,relocation,recovered_record,57600,71596,89950,71596,20,0,BOUNDED_RECOVERY:causal_record_tape_rebuilt_after_private_identity_destruction
round_ae_ae3,recoding,recovered_record,57600,71596,89950,71596,20,0,BOUNDED_RECOVERY:causal_record_tape_rebuilt_after_private_identity_destruction
round_ae_ae3,resegmentation,recovered_record,57600,71596,89950,71596,20,0,BOUNDED_RECOVERY:causal_record_tape_rebuilt_after_private_identity_destruction
round_ae_ae3,instruction_destruction,recovered_record,57600,71596,89950,71596,20,0,BOUNDED_RECOVERY:causal_record_tape_rebuilt_after_private_identity_destruction
round_ae_ae3,boundary_destruction,recovered_record,57600,71596,89950,71596,20,0,BOUNDED_RECOVERY:causal_record_tape_rebuilt_after_private_identity_destruction
round_ae_ae3,wholesale,recovered_record,57600,71596,89950,71596,20,0,BOUNDED_RECOVERY:causal_record_tape_rebuilt_after_private_identity_destruction
round_ae_ae3,wholesale,copied_bytes,0,71596,71596,71596,0,20,CONTROL
round_ae_ae3,wholesale,fixed_decoder,57600,71596,89950,71596,20,0,CONTROL
round_ae_ae3,wholesale,equal_language,57600,71596,89950,71596,20,0,CONTROL
round_ae_ae3,wholesale,random,0,71596,74402,71596,13,7,CONTROL
round_ae_ae3,wholesale,replay,0,71596,74793,71596,13,7,CONTROL
round_ae_ae3,wholesale,static,0,71596,71596,71596,0,20,CONTROL
round_ae_ae3,wholesale,shuffled_evidence,57600,71596,72677,71596,11,9,CONTROL
round_ae_ae3,wholesale,false_evidence,57600,71596,71596,71596,0,20,CONTROL
round_ae_ae3,wholesale,oracle,0,71596,147128,71596,20,0,INVALID_ORACLE:private_ceiling_not_available_to_organism
round_ae_ae3,audit,hostile,0,0,0,0,0,0,CONTROL_PASS:combined_private_relocation_recoding_resegmentation_instruction_and_boundary_identity_destruction
round_ae_ae3,audit,hostile,0,0,0,0,0,0,CONTROL_PASS:construction_charged_fresh_worlds_causal_ablation_and_rollback
round_ae_ae3,audit,hostile,0,0,0,0,0,0,CONTROL_PASS:copied_random_replay_static_false_and_shuffled_evidence_controls
round_ae_ae3,audit,hostile,0,0,0,0,0,0,CONTROL_PASS:deterministic_replay_no_llm_text_embeddings_neural_or_answer_trace
round_ae_ae3,audit,hostile,0,0,0,0,0,0,CONTROL_FAIL:fixed_execute_relation_is_a_host_decoder_and_semantic_algebra
round_ae_ae3,audit,hostile,0,0,0,0,0,0,CONTROL_FAIL:host_supplies_byte_atoms_array_boundary_bit_trial_generator_and_commit_geometry
round_ae_ae3,audit,hostile,0,0,0,0,0,0,CONTROL_FAIL:fixed_decoder_and_equal_language_tie_recovered_record_exactly
round_ae_ae3,audit,hostile,0,0,0,0,0,0,VALID_NEGATIVE:functional_recovery_is_transport_through_supplied_micro_language_not_organism_owned_semantic_birth
