artifact,stage,anonymous_event,operation_shape,public_reply,charged_call,arm,detail
round_p_p5,recall,anonymous_event,fold_xnor,causal_class,1,forged,answer_free_experience
round_p_p5,measure,anonymous_event,fold_xnor,aggregate_measurement,1,forged,forged_raw_atom_probe
round_p_p5,commit,anonymous_event,fold_xnor,sealed_observation,1,forged,pre_score_frozen_commitment
round_p_p5,recall,anonymous_event,fold_xnor,causal_class,1,raw_atom,answer_free_experience
round_p_p5,measure,anonymous_event,fold_xor,aggregate_measurement,1,raw_atom,forged_raw_atom_probe
round_p_p5,commit,anonymous_event,fold_xor,sealed_observation,1,raw_atom,pre_score_frozen_commitment
round_p_p5,recall,anonymous_event,fold_xnor,causal_class,1,fixed_compose,answer_free_experience
round_p_p5,measure,anonymous_event,fold_xor,aggregate_measurement,1,fixed_compose,forged_raw_atom_probe
round_p_p5,commit,anonymous_event,fold_xor,sealed_observation,1,fixed_compose,pre_score_frozen_commitment
round_p_p5,recall,anonymous_event,fold_xnor,causal_class,1,blind_compose,answer_free_experience
round_p_p5,measure,anonymous_event,fold_xnor,aggregate_measurement,1,blind_compose,forged_raw_atom_probe
round_p_p5,commit,anonymous_event,fold_xnor,sealed_observation,1,blind_compose,pre_score_frozen_commitment
round_p_p5,recall,anonymous_event,fold_xnor,causal_class,1,forged,answer_free_experience
round_p_p5,measure,anonymous_event,fold_xnor,aggregate_measurement,1,forged,forged_raw_atom_probe
round_p_p5,commit,anonymous_event,fold_xnor,sealed_observation,1,forged,pre_score_frozen_commitment
round_p_p5,recall,anonymous_event,fold_xnor,causal_class,1,raw_atom,answer_free_experience
round_p_p5,measure,anonymous_event,fold_xor,aggregate_measurement,1,raw_atom,forged_raw_atom_probe
round_p_p5,commit,anonymous_event,fold_xor,sealed_observation,1,raw_atom,pre_score_frozen_commitment
round_p_p5,recall,anonymous_event,fold_xnor,causal_class,1,fixed_compose,answer_free_experience
round_p_p5,measure,anonymous_event,fold_xor,aggregate_measurement,1,fixed_compose,forged_raw_atom_probe
round_p_p5,commit,anonymous_event,fold_xor,sealed_observation,1,fixed_compose,pre_score_frozen_commitment
