artifact,partition,policy,charged_work,old_resource,fresh_resource,ablated_resource,novel_constructions,transfers,commits,rollbacks,lineage_hash,verdict
round_ad_ad2,ecology,ecology,10752,34163,35322,34163,451,15,451,17,0x3b4eff228d66e8c1,LIMITED_POSITIVE:bounded_self_modification_raises_withheld_resource
round_ad_ad2,ecology,random,10752,34163,34942,34163,431,15,431,17,0xafd9ba879f05bd6d,CONTROL:equal_cost_random_raw_rewrites
round_ad_ad2,ecology,replay,10752,34163,34984,34163,423,15,423,17,0x52dac3bd08ed78dc,CONTROL:equal_cost_replay
round_ad_ad2,ecology,static,0,34163,34163,34163,0,0,0,32,0x0,CONTROL:static
round_ad_ad2,ecology,fixed_challenge,10752,34163,34945,34163,32,18,32,14,0x190d214831b91541,CONTROL:fixed_challenge
round_ad_ad2,ecology,equal_language,10752,34163,35322,34163,451,15,451,17,0x3b4eff228d66e8c1,CONTROL:equal_language_host_scan
round_ad_ad2,ecology,bloat,10752,34163,35322,34163,451,15,451,17,0x3b4eff228d66e8c1,ATTACK:bloat
round_ad_ad2,ecology,copied_world,10752,34163,35262,34163,32,17,32,15,0x821d91d6ec581352,ATTACK:copied_world_answer_memory
round_ad_ad2,ecology,shuffled_lineage,10752,34163,35322,34163,451,15,451,17,0x3b4eff228d66e8c1,ATTACK:shuffled_lineage
round_ad_ad2,ecology,false_lineage,10752,34163,34163,34163,434,0,434,32,0x58618d91a374cac6,ATTACK:false_lineage
round_ad_ad2,ecology,evaluator_leak,10752,34163,35322,34163,451,15,451,17,0x3b4eff228d66e8c1,ATTACK:evaluator_leak_denied
round_ad_ad2,ecology,relocated,10752,34163,35322,34163,451,15,451,17,0x3b4eff228d66e8c1,ATTACK:address_relocation
round_ad_ad2,ecology,recoded,10752,34163,34772,34163,435,14,435,18,0x7e4add3b6c84d92a,ATTACK:value_recode
round_ad_ad2,ecology,resegmented,10752,34163,35322,34163,451,15,451,17,0x3b4eff228d66e8c1,ATTACK:resegmentation
round_ad_ad2,ecology,ablated,0,34163,34163,34163,0,0,0,32,0x0,CONTROL_PASS:causal_ablation
round_ad_ad2,ecology,oracle,0,34163,35262,34163,0,17,0,15,0x0,INVALID_ORACLE:private_ceiling
round_ad_ad2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:no_llm_text_token_embedding_neural_or_neurosymbolic_path
round_ad_ad2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:evaluator_worlds_sealed_until_fresh_test
round_ad_ad2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:all_scans_trials_and_rewrites_charged
round_ad_ad2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:host_selects_cell_array_state_and_scan_rewrite_candidate_language
round_ad_ad2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:host_defines_resource_consequence_world_generator_and_trial_cadence
round_ad_ad2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:bounded_seeded_worlds_are_not_open_ended_self_generated_ecology
round_ad_ad2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:organism_never_authors_its_own_interaction_medium
round_ad_ad2,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:copied_world_and_resegmentation_attack_prevent_transfer_claim
round_ad_ad2,closure,aggregate,10752,34163,35322,34163,451,15,451,17,0x3b4eff228d66e8c1,VALID_NEGATIVE:bounded_ecology_has_costed_gain_but_host_candidate_language_and_world_physics_are_a_hidden_human_curriculum
