artifact,policy,charged_raw_contacts,hidden_shifted_material,perfect_hidden_cohorts,accepted_opaque_frames,verdict
round_ap_ap5,earned_topology,1536,24960,96,96,FOUNDATION_POSITIVE:earned_topology_through_real_clean_room
round_ap_ap5,fixed_graph,1536,9100,35,96,CONTROL:equal_1536_contacts_separate_candidate_process
round_ap_ap5,fixed_effect_vector,1536,9100,35,96,CONTROL:equal_1536_contacts_separate_candidate_process
round_ap_ap5,last_outcome,1536,8320,32,96,CONTROL:equal_1536_contacts_separate_candidate_process
round_ap_ap5,fixed_schedule,1536,9100,35,96,CONTROL:equal_1536_contacts_separate_candidate_process
round_ap_ap5,random,1536,10140,39,96,CONTROL:equal_1536_contacts_separate_candidate_process
round_ap_ap5,replay,1536,7800,30,96,CONTROL:equal_1536_contacts_separate_candidate_process
round_ap_ap5,shuffled_history,1536,10140,39,96,CONTROL:equal_1536_contacts_separate_candidate_process
round_ap_ap5,answer_scrub,1536,7540,29,96,CONTROL:equal_1536_contacts_separate_candidate_process
round_ap_ap5,topology_ablated,1536,7540,29,96,CONTROL:equal_1536_contacts_separate_candidate_process
round_ap_ap5,audit,0,0,0,0,ATTACK_PASS:parent_owns_hidden_target_reward_recoding_nonce_and_end_only_score; candidate_is_separate_C_executable_with_no_target_reward_linkage
round_ap_ap5,audit,0,0,0,0,ATTACK_PASS:bwrap_private_mounts_empty_env_closed_extra_FDs_network_PID_IPC_isolation_and_candidate_seccomp_rlimits_apply_each_frame
round_ap_ap5,verdict,0,0,0,0,FOUNDATION_POSITIVE:earned_topology_strictly_beats_all_controls_at_original_96x16_budget_under_attacked_AP4_equivalent_boundary
