artifact,policy,charged_raw_interactions,hidden_unseen_material,causal_commits,nonfixed_programs,verdict
round_aj_aj4,earned_program,960,412,3,45,VALID_NEGATIVE:earned_program_beats_blank_controls_but_loses_random_replay_shuffled_and_uses_host_trace_primitive
round_aj_aj4,fixed_experiment,576,273,1,0,CONTROL:equal_cost_fixed_program
round_aj_aj4,random_experiment,576,526,4,45,CONTROL:equal_cost_random_program
round_aj_aj4,replay_experiment,960,632,9,45,CONTROL:preceding_cohort_program
round_aj_aj4,fresh_start,960,0,0,0,CONTROL:fresh_start_no_relation
round_aj_aj4,shuffled_history,960,604,8,45,CONTROL:shuffled_causal_history
round_aj_aj4,answer_memory,960,0,0,0,CONTROL:answer_trace_not_interpretable_as_relation
round_aj_aj4,retained_answer,960,0,0,0,CONTROL:retained_response_table_not_transferable
round_aj_aj4,first_mechanism_ablated,960,0,0,0,CONTROL:literal_first_relation_ablation
round_aj_aj4,audit,0,0,0,0,CONTROL_PASS:all_world_ids_hidden_and_train_transfer_domains_disjoint
round_aj_aj4,audit,0,0,0,0,CONTROL_PASS:address_value_and_period_encodings_private_per_cohort
round_aj_aj4,audit,0,0,0,0,CONTROL_PASS:fixed_random_replay_fresh_shuffled_answer_retained_and_ablation_recorded_with_all_costs
round_aj_aj4,audit,0,0,0,0,ATTACK:world_overlap_representation_recode_and_answer_history_controls_are_pre_registered
round_aj_aj4,audit,0,0,0,0,LIMIT:finite_trace_window_action_arity_and_reversible_perturbation_are_human_written_trusted_substrate
round_aj_aj4,audit,0,0,0,0,VALID_NEGATIVE:self_generated_program_not_sufficient_to_establish_human_bottleneck_free_experiment_choice
round_aj_aj4,audit,0,0,0,0,LIMIT:no_OS_containment_or_full_autonomy_claim
