# method_memory_schema=AW1-v1
# candidate_visible=general_methods_only
lesson_id,principle,evidence_family,required_action,trust,status
"METHOD-REACH","Search cannot reliably reach a mechanism absent from its representational language; add or discover a testable mechanism before spending more aim budget.","representation-and-aim synthesis","record reachability evidence before allocation",established,ACCEPTED_GENERAL_METHOD
"METHOD-AIM","Once a mechanism is reachable, targeting can improve efficiency; it is not proof of new representational power.","aim-versus-reach comparisons","compare targeting to equal-budget broad search",conditional,ACCEPTED_GENERAL_METHOD
"METHOD-REPAIR","A failed hypothesis or tool should create an explicit alternative branch and a discriminating repair test, not a rewritten success story.","scratch-tool repair and real-artifact trials","preserve failure receipt and precommit the repair test",established,ACCEPTED_GENERAL_METHOD
"METHOD-BUDGET","A learned policy has no advantage claim unless every baseline receives the same inputs, actions, restarts, and resource budget.","allocation failures and equal-budget audit","derive scores from precommitted receipts",established,ACCEPTED_GENERAL_METHOD
"METHOD-LEAK","Isolation claims require active target-channel, shared-state, and post-hoc-result attacks; a sandbox alone does not remove an encoded target.","reduction audits and evaluator isolation","run hostile leak audit before accepting a positive",established,ACCEPTED_GENERAL_METHOD
"METHOD-TRANSFER","A repaired or forged tool is earned only when it helps a distinct held-out artifact under the same stated boundary.","transfer requirement from artifact trials","evaluate transfer before reusable-tool admission",established,ACCEPTED_GENERAL_METHOD
"METHOD-KNOWNNESS","Prior claims are evidence, not truth: classify scope and provenance, then reproduce a matched claim with a separate worker.","frozen knownness protocol","treat mismatched or unverified claims as hypotheses",established,ACCEPTED_GENERAL_METHOD
"METHOD-BASELINE","Strong fixed and broad policies are serious competitors; a tie or loss is a negative result, not evidence of learning.","large-world and real-code comparisons","retain fixed broad random replay and ablation controls",established,ACCEPTED_GENERAL_METHOD
"METHOD-RETRACTION","A claim invalidated by a later audit must be removed from actionable method memory while retaining its failure mode as an audit warning.","retraction propagation","invalidate dependent positive rules and keep only the warning",established,ACCEPTED_GENERAL_METHOD
RETRACTION-WARNING,Later audits can invalidate attractive positives,retraction-propagation,block invalidated strategy and rerun audit,established,BLOCKED_NOT_ACTIONABLE
