artifact,transform,policy,charged_calibration_calls,old_fresh_resource,new_fresh_resource,ablated_resource,commits,rollbacks,verdict
round_ad_ad3,native,self_hosted,32256,44089,54957,44089,18,0,BOUNDED_CAPABILITY:mutable_transducer_constructed_from_raw_resource_traces
round_ad_ad3,relocated,self_hosted,32256,44089,54957,44089,18,0,BOUNDED_CAPABILITY:mutable_transducer_constructed_from_raw_resource_traces
round_ad_ad3,recoded,self_hosted,32256,44089,54957,44089,18,0,BOUNDED_CAPABILITY:mutable_transducer_constructed_from_raw_resource_traces
round_ad_ad3,resegmented,self_hosted,32256,44089,54957,44089,18,0,BOUNDED_CAPABILITY:mutable_transducer_constructed_from_raw_resource_traces
round_ad_ad3,permuted,self_hosted,32256,44089,54957,44089,18,0,BOUNDED_CAPABILITY:mutable_transducer_constructed_from_raw_resource_traces
round_ad_ad3,wholesale,self_hosted,32256,44089,54957,44089,18,0,BOUNDED_CAPABILITY:mutable_transducer_constructed_from_raw_resource_traces
round_ad_ad3,wholesale,fixed_decoder,32256,44089,54957,44089,18,0,CONTROL
round_ad_ad3,wholesale,copied_byte,0,44089,44089,44089,0,18,CONTROL
round_ad_ad3,wholesale,random,0,44089,45495,44089,6,12,CONTROL
round_ad_ad3,wholesale,replay,0,44089,45457,44089,7,11,CONTROL
round_ad_ad3,wholesale,equal_language,32256,44089,54957,44089,18,0,CONTROL
round_ad_ad3,wholesale,shuffled_evidence,32256,44089,54957,44089,18,0,CONTROL
round_ad_ad3,wholesale,false_evidence,32256,44089,44089,44089,0,18,CONTROL
round_ad_ad3,wholesale,oracle,0,44089,87599,44089,18,0,INVALID_ORACLE:private_ceiling_not_available_to_organism
round_ad_ad3,audit,hostile,0,0,0,0,0,0,CONTROL_PASS:fresh_evaluator_worlds_and_charged_construction_migration
round_ad_ad3,audit,hostile,0,0,0,0,0,0,CONTROL_PASS:causal_ablation_is_exact_and_false_evidence_rolls_back
round_ad_ad3,audit,hostile,0,0,0,0,0,0,CONTROL_PASS:private_relocation_value_recode_resegmentation_and_instruction_permutation
round_ad_ad3,audit,hostile,0,0,0,0,0,0,CONTROL_PASS:deterministic_replay_no_llm_text_embedding_neural_or_answer_trace_path
round_ad_ad3,audit,hostile,0,0,0,0,0,0,CONTROL_FAIL:fixed_host_xor_transduction_semantics_and_raw_byte_atoms
round_ad_ad3,audit,hostile,0,0,0,0,0,0,CONTROL_FAIL:host_supplies_bit_trial_generator_array_boundary_commit_and_rollback_geometry
round_ad_ad3,audit,hostile,0,0,0,0,0,0,CONTROL_FAIL:fixed_decoder_and_equal_expressive_language_tie_self_hosted_result
round_ad_ad3,audit,hostile,0,0,0,0,0,0,VALID_NEGATIVE:bounded_migration_works_but_not_organism_owned_compiler_or_open_ended_semantic_birth
