artifact,partition,policy,charged_work,old_resource,new_resource,ablated_resource,bootstrap_retired,constructions,commits,rollbacks,lineage_hash,verdict
round_ad_ad1,interpreter_birth,birth,5760,26767,27197,26767,6,43,11,9,0x665ce14f54f06f23,LIMITED_RESULT:constructed_macro_configurations_gain_resource_but_are_host_recognized
round_ad_ad1,interpreter_birth,ablated,0,26767,26767,26767,0,0,0,20,0x0,CONTROL_PASS:construction_ablation_returns_old_resource
round_ad_ad1,interpreter_birth,raw_random,5760,26767,27030,26767,7,37,10,10,0xcc2f86476bf3215e,CONTROL:equal_cost_raw_random_matter
round_ad_ad1,interpreter_birth,replay,5760,26767,27047,26767,9,49,9,11,0xef71edc607745b33,CONTROL:equal_cost_bootstrap_replay
round_ad_ad1,interpreter_birth,fixed_language,5760,26767,26963,26767,9,42,8,12,0x3076cd0fe4b76fd6,CONTROL:fixed_expressive_host_language
round_ad_ad1,interpreter_birth,static_bootstrap,0,26767,26767,26767,0,0,0,20,0x0,CONTROL:static_unretired_bootstrap
round_ad_ad1,interpreter_birth,shuffled_lineage,5760,26767,27197,26767,6,43,11,9,0x95a3d61332517fb6,CONTROL:shuffled_lineage_binding
round_ad_ad1,interpreter_birth,false_lineage,5760,26767,26767,26767,12,54,0,20,0x85e8e06e65043288,CONTROL_PASS:false_lineage_fresh_harm_rolls_back
round_ad_ad1,interpreter_birth,relocated,5760,26767,27197,26767,6,43,11,9,0x665ce14f54f06f23,ATTACK:independent_address_relocation
round_ad_ad1,interpreter_birth,recoded,5760,27009,27249,27009,9,45,8,12,0xf36c36e7ae953076,ATTACK:independent_value_recoding
round_ad_ad1,interpreter_birth,resegmented,5760,26815,27155,26815,6,37,8,12,0x8fc7d8aceb303e91,ATTACK:instruction_resegmentation
round_ad_ad1,interpreter_birth,instruction_permuted,5760,26800,26984,26800,8,38,8,12,0xf9fa780cf6bbb4aa,ATTACK:instruction_identity_permutation
round_ad_ad1,interpreter_birth,boundary_permuted,5760,26967,27170,26967,10,57,7,13,0x42950a2705675e11,ATTACK:macro_boundary_permutation
round_ad_ad1,interpreter_birth,oracle,0,26767,27209,26767,0,0,15,5,0x0,INVALID_ORACLE:evaluator_private_ceiling
round_ad_ad1,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:no_llm_text_token_embedding_neural_or_neurosymbolic_mechanism
round_ad_ad1,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:all_transport_construction_and_evaluation_work_is_charged
round_ad_ad1,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:bootstrap_has_no_origin_survival_privilege
round_ad_ad1,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_PASS:sealed_fresh_worlds_are_unseen_until_commit_or_rollback
round_ad_ad1,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:hostMacroEffect_assigns_block_geometry_opcode_meanings_and_harvest_comparison
round_ad_ad1,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:transport_rule_and_private_world_generator_are_human_selected_exterior_physics
round_ad_ad1,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:instruction_boundary_permutation_is_not_reconstructed_by_organism_activity
round_ad_ad1,attack,hostile,0,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:retirement_only_replaces_state_inside_host_recognizer_not_the_recognizer
round_ad_ad1,closure,aggregate,5760,26767,27197,26767,6,43,11,9,0x665ce14f54f06f23,VALID_NEGATIVE:macro_configurations_and_state_retirement_have_causal_gain_but_host_recognizer_is_not_an_organism_owned_interpreter
