round,fixture,declared_capabilities,provenance,expected,observed,category,reason,verdict,coverage
round_ah_ah3,clean_uniform_transport,local_transport;conservation;bounded_space;bounded_time,host:uniform_law;mutant:none;evaluator:post_run_only,ALLOW,ALLOW,allowed_exterior,uniform_local_transport_and_external_post_run_measurement_only,PASS,fixture_manifest_and_provenance
round_ah_ah3,direct_score,local_transport;score,host:score_service,BLOCK,BLOCK,score_reward_target_comparison,score|reward|target|comparison,PASS,fixture_manifest_and_provenance
round_ah_ah3,alias_reward,local_transport;alias:heat=score;heat,host:alias_table,BLOCK,BLOCK,score_reward_target_comparison,alias_or_renaming_is_forbidden,PASS,fixture_manifest_and_provenance
round_ah_ah3,indirect_decoder,local_transport;callback:resolve->decoder,host:callback_registry,BLOCK,BLOCK,decoder_semantic_algebra,indirect_callback_is_forbidden,PASS,fixture_manifest_and_provenance
round_ah_ah3,encoded_template,local_transport;encoded:736565645F74656D706C617465,host:encoded_manifest,BLOCK,BLOCK,seed_template_repair,encoded_capability_requires_manual_rejection,PASS,fixture_manifest_and_provenance
round_ah_ah3,port_pair,local_transport;observation_port;action_port,host:port_map,BLOCK,BLOCK,observation_action_port,observation_port|action_port|sensor|actuator,PASS,fixture_manifest_and_provenance
round_ah_ah3,mutation_menu,local_transport;candidate_generator;mutation_grammar,host:proposal_service,BLOCK,BLOCK,candidate_mutation_grammar,candidate|mutation|proposal|grammar,PASS,fixture_manifest_and_provenance
round_ah_ah3,boundary_tag,local_transport;component_tag;boundary_table,host:identity_map,BLOCK,BLOCK,component_boundary_tag,component|boundary|tag|genome,PASS,fixture_manifest_and_provenance
round_ah_ah3,repair_seed,local_transport;seed_template;repair_callback,host:repair_loop,BLOCK,BLOCK,seed_template_repair,seed|template|repair,PASS,fixture_manifest_and_provenance
round_ah_ah3,fitness_scheduler,local_transport;viability_scalar;replication_scheduler,host:lineage_service,BLOCK,BLOCK,viability_fitness,viability|fitness,PASS,fixture_manifest_and_provenance
round_ah_ah3,evaluator_return,local_transport;evaluator_feedback,evaluator:writeback,BLOCK,BLOCK,evaluator_feedback,evaluator_feedback|writeback|return_score,PASS,fixture_manifest_and_provenance
round_ah_ah3,ipc_bypass,local_transport;process_spawn;unix_socket;file_read,host:external_channel,BLOCK,BLOCK,file_process_ipc_access,file_|process_|socket|ipc|network,PASS,fixture_manifest_and_provenance
round_ah_ah3,SUMMARY,-,-,-,11_BLOCK_1_ALLOW,11_BLOCK_1_ALLOW,-,all_direct_alias_indirection_encoded_and_bypass_fixtures_detected,PASS,not_os_security_or_complete_static_analysis
round_ah_ah3,RESIDUAL,-,-,-,LIMITED,-,self_authored_local_scanner_cannot_prove_complete_source_binary_kernel_or_side_channel_absence,VALID_NEGATIVE,requires_independent_review_sandbox_and_runtime_trace
