artifact,partition,policy,worlds,tick_budget,viable_ticks,resource_balance,reproduced_worlds,denied,verdict
round_y_y1,postfreeze,evolved,32,4096,3820,3181,16,0,VALID_NEGATIVE:vm_decoder_installs_responsibility_axis
round_y_y1,postfreeze,no_residue,32,4096,3668,895,9,0,CONTROL
round_y_y1,postfreeze,random_residue,32,4096,3745,567,12,0,CONTROL
round_y_y1,postfreeze,fixed_residue,32,4096,3660,1777,12,0,CONTROL
round_y_y1,postfreeze,replay,32,4096,3613,381,6,0,CONTROL
round_y_y1,postfreeze,static_equal,32,4096,3660,1777,12,0,CONTROL
round_y_y1,postfreeze,shuffled,32,4096,3688,431,11,0,CONTROL:residue_routes_shuffled
round_y_y1,postfreeze,false_residue,32,4096,3654,354,7,0,CONTROL:deliberately_false_route
round_y_y1,postfreeze,post_edit,32,4096,0,-31968,0,32,CONTROL_PASS:frozen_digest_rejects_edit
round_y_y1,postfreeze,rewrite,32,4096,2272,-256,0,2304,CONTROL_PASS:resource_ledger_rewrite_denied
round_y_y1,audit,field_reachability,1,24,24,0,0,0,CONTROL_PASS:24_of_24_bytes_reachable
round_y_y1,audit,mutator_distribution,64,64,64,0,0,0,CONTROL_PASS:mutator_changes_descendant_distributions
round_y_y1,audit,evaluator_leak,1,0,0,0,0,0,CONTROL_PASS:no_private_world_or_component_score_input
round_y_y1,audit,transcript_memory,1,0,0,0,0,0,CONTROL_PASS:replay_evaluated_on_disjoint_worlds
round_y_y1,audit,bloat,1,0,0,-8,0,0,CONTROL_PASS:all_bytes_charged
round_y_y1,audit,favorable_birth,1,0,0,0,0,0,CONTROL_PASS:postfreeze_bodies_and_seeds_independent
round_y_y1,audit,duplicate_evidence,1,0,0,0,0,0,CONTROL_PASS:world_digest_domains_disjoint
round_y_y1,audit,deterministic_replay,2,0,0,0,0,0,CONTROL_PASS:byte_identical_full_replay
round_y_y1,closure,aggregate,32,4096,3820,3181,16,0,VALID_NEGATIVE:residue_effect_not_representation_free
