artifact,partition,policy,charged_work,old_resource,new_resource,ablated_resource,updates,commits,rollbacks,lineage_hash,verdict
round_af_af2,sensorimotor_closure,endogenous,11040,57365,58073,57365,72,12,12,0xb60259bb4e0fe1dc,LIMITED_RESULT:closure_record_improves_host_scored_resource
round_af_af2,sensorimotor_closure,ablated,1440,57365,57365,57365,0,0,24,0x0,CONTROL_PASS:criterion_ablation_returns_baseline
round_af_af2,sensorimotor_closure,raw_random,11040,57365,58037,57365,54,8,16,0xf12bc52534c74635,CONTROL:equal_cost_raw_random
round_af_af2,sensorimotor_closure,replay,11040,57365,57365,57365,0,0,24,0xf30e2f907ef1c835,CONTROL:equal_cost_replay
round_af_af2,sensorimotor_closure,static,1440,57365,57365,57365,0,0,24,0x0,CONTROL:static_raw_field
round_af_af2,sensorimotor_closure,fixed_closure,11040,57365,58165,57365,66,11,13,0xa2163323d7c72df2,CONTROL:equally_expressive_fixed_closure
round_af_af2,sensorimotor_closure,shuffled_lineage,11040,57365,58039,57365,62,9,15,0x6456b444c7a7b33a,CONTROL:shuffled_causal_lineage
round_af_af2,sensorimotor_closure,false_lineage,11040,57365,57365,57365,73,0,24,0x93e585b3cd566e7a,CONTROL_PASS:false_lineage_rolls_back
round_af_af2,sensorimotor_closure,copied_bloat,11040,57365,58049,57365,66,13,11,0x6bef15a9c5f7547c,CONTROL:equal_cost_copy_bloat
round_af_af2,sensorimotor_closure,relocated,11040,57711,58035,57711,77,8,16,0xfa9cff9920f2e9e,ATTACK:address_relocation
round_af_af2,sensorimotor_closure,recoded,11040,57496,58326,57496,63,14,10,0x21b7db50dcb09dfa,ATTACK:value_recoding
round_af_af2,sensorimotor_closure,resegmented,11040,57809,58187,57809,73,11,13,0x1a98bfcb212edadb,ATTACK:group_resegmentation
round_af_af2,sensorimotor_closure,instruction_destroyed,11040,57365,58017,57365,59,10,14,0xa99a9847d79a0b38,ATTACK:instruction_identity_destruction
round_af_af2,sensorimotor_closure,boundary_destroyed,11040,57455,57861,57455,66,14,10,0xbd15b1e9762edf19,ATTACK:boundary_destruction
round_af_af2,sensorimotor_closure,combined_destroyed,11040,57726,58076,57726,50,9,15,0x712d1df833104ea9,ATTACK:combined_address_value_group_instruction_boundary_destruction
round_af_af2,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_PASS:no_llm_text_tokens_embeddings_neural_or_neurosymbolic_mechanism
round_af_af2,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_PASS:all_ordinary_measurement_work_is_charged_and_fresh_worlds_are_sealed
round_af_af2,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:hostClosure_supplies_intervention_site_magnitude_outcome_grouping_and_difference_relation
round_af_af2,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:hostResource_supplies_record_alignment_comparison_and_resource_meaning
round_af_af2,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:host_scalar_acceptance_is_a_supplied_criterion_and_candidate_selection_rule
round_af_af2,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:raw_transport_and_private_world_family_are_human_selected_exterior_physics
round_af_af2,closure,aggregate,11040,57365,58073,57365,72,12,12,0xb60259bb4e0fe1dc,VALID_NEGATIVE:closure_gain_requires_host_defined_intervention_observation_and_comparison
