artifact,policy,charged_contacts,committed_proposals,valid_proposals,heldout_new_causal_distinctions,verdict
round_ar_ar2,authored,5376,384,384,216,FOUNDATION_POSITIVE:precommitted_compositional_world_specs_strictly_beat_equal_cost_fixed_random_replay_shuffled_and_answer_scrubbed_controls
round_ar_ar2,fixed_world,5376,384,384,108,CONTROL:fixed_generic_world_spec
round_ar_ar2,random_proposal,5376,384,317,98,CONTROL:random_generic_world_spec
round_ar_ar2,replay,5376,384,384,105,CONTROL:prior_source_proposal_replay
round_ar_ar2,shuffled,5376,384,384,109,CONTROL:provenance_shuffled_source_proposal
round_ar_ar2,answer_scrubbed,5376,384,317,81,CONTROL:source_evidence_scrubbed_random_proposal
round_ar_ar2,no_dynamics,5376,384,0,0,REJECT:degenerate_no_dynamics_or_missing_provenance
round_ar_ar2,audit,0,0,0,0,GATE:proposal_is_frozen_before_fresh_world_seed_and_recoding
round_ar_ar2,audit,0,0,0,0,GATE:proposal_has_no_source_world_id_hidden_template_id_target_score_or_answer_trace_field
round_ar_ar2,audit,0,0,0,0,GATE:source_copy_fingerprint_direct_answer_encoding_and_degenerate_dynamics_are_rejected
round_ar_ar2,audit,0,0,0,0,GATE:all_arms_pay_identical_proposal_plus_evaluation_contacts
round_ar_ar2,audit,0,0,0,0,LIMIT:proposal_grammar_three_operators_ordered_pair_and_depth_is_human_supplied_and_bounded
round_ar_ar2,audit,0,0,0,0,LIMIT:generated_synthetic_world_is_not_a_real_invention_or_novelty_claim
round_ar_ar2,audit,0,0,0,0,LIMIT:single_process_deterministic_fixture_is_not_a_process_isolation_or_open_ended_autonomy proof
