n,label,bits,seed_hex
362244575,HELDOUT,29,0xBCEA89CD24082AD0
3369688347,HELDOUT,32,0x3EE43839FA8A8A93
8435639328,HELDOUT,33,0x10501E81B2B9F4B1
126046205,HELDOUT,27,0x29888F32D543248C
430085150808,HELDOUT,39,0x69A162837970D92C
322292947926,HELDOUT,39,0xB2DD7FFA19A65C90
1225728717,HELDOUT,31,0x700E0EBD6CAB2B3E
1901450859,HELDOUT,31,0x4AE8AB20EEDB4D93
12495028122,HELDOUT,34,0x6D82CD4571D4F950
1793441444,HELDOUT,31,0x0BED4B03C2FEB6ED
8485717242,HELDOUT,33,0xD496AE3436A035DE
193325656716,HELDOUT,38,0x0624FA0D1890F829
151913234752,HELDOUT,38,0xEF2E34895EFE6A6D
1362963011,HELDOUT,31,0x77419B901AABDC69
843174841,HELDOUT,30,0x2D330EB53C5AB9C3
44291981,HELDOUT,26,0xACFFB62235D36DAD
116435988549,HELDOUT,37,0x267881B2B65BBC47
10738960,HELDOUT,24,0x59DA872ED4D2B4DC
6293594499,HELDOUT,33,0x21159A75AB208C15
211134300808,HELDOUT,38,0x56E3D83955E4CE65
38408046045,HELDOUT,36,0x62F853E3A8885718
29300864,HELDOUT,25,0xEA22B90DCECF6F60
88089509841,HELDOUT,37,0x3ACC615549ABC18B
46746822043,HELDOUT,36,0xC5FA1309FE845A15
988803185974,HELDOUT,40,0xF568B0A71E37FB6C
1716480167,HELDOUT,31,0x8D1D322E6BEE1001
831896849,HELDOUT,30,0x5A0DC8B0FB52B360
16462826,HELDOUT,24,0x798B81E25460C6A1
637304066,HELDOUT,30,0x97BC0DFD86F75BF5
519760275713,HELDOUT,39,0xF5044BC601330EC4
10789791,HELDOUT,24,0x3430DC1108DBF6EB
3954793830,HELDOUT,32,0xD9A6BE1D42A47DD9
156533965,HELDOUT,28,0x6098883242B874B5
21972514,HELDOUT,25,0x71EE7A4DD1D16835
111937965,HELDOUT,27,0x52A544487D1E1017
10774021151,HELDOUT,34,0x62268E5A1C0B7491
452665179,HELDOUT,29,0x5986F210E9B5AB1B
681406436,HELDOUT,30,0x0CEF424581F7BFA9
13703581,HELDOUT,24,0x080F2DB05F4F8C5C
438281853454,HELDOUT,39,0x44FD4CBF8DA0E163
54408275,HELDOUT,26,0xA0276FE9701C3728
21101197,HELDOUT,25,0xFB67DFDAA336E3AB
415317922999,HELDOUT,39,0x2FD8B72D93504B53
26175871,HELDOUT,25,0xF25361FF53E2162D
236075203659,HELDOUT,38,0x4C498E63B925043A
2431870987,HELDOUT,32,0xEDE41954CC046DAF
49198134385,HELDOUT,36,0x6D92A97102B359F4
382295210111,HELDOUT,39,0xD4380CDAF5A76606
476833866251,HELDOUT,39,0x8C37BDC4CBBD097D
199973977,HELDOUT,28,0x765C802C72C75EB6
267348025951,HELDOUT,38,0xE2B12D090CD7312F
3637319699,HELDOUT,32,0x01529A6FBE19D236
10123611965,HELDOUT,34,0x60723F3FA4B7A626
82738594,HELDOUT,27,0xD67BC213AF33B1F1
183719751501,HELDOUT,38,0xDAB110A8CAB05FEA
37402311264,HELDOUT,36,0x5F4941643381A839
105934538,HELDOUT,27,0x7639718EA1E3AB34
31642087612,HELDOUT,35,0x942D46B55F24C257
180230055,HELDOUT,28,0x48C23935EE52580E
325484715,HELDOUT,29,0xCE98C2DB160707AB
