artifact,partition,policy,worlds,tick_budget,viable_ticks,resource_balance,reproduced_worlds,experiment_steps,rewrite_denied,verdict
round_x_x3,fresh_postfreeze,evolved,32,3072,1786,5538,9,256,0,VALID_NEGATIVE:downstream_selection_does_not_beat_all_strong_controls
round_x_x3,fresh_postfreeze,fixed,32,3072,1964,5253,12,128,0,CONTROL
round_x_x3,fresh_postfreeze,random,32,3072,1455,2157,1,0,0,CONTROL
round_x_x3,fresh_postfreeze,replay,32,3072,1210,2173,4,0,0,CONTROL
round_x_x3,fresh_postfreeze,shuffled,32,3072,743,481,0,256,0,CONTROL
round_x_x3,fresh_postfreeze,favorable_birth,32,3072,2214,6653,15,0,0,INVALID_ORACLE_CONTROL
round_x_x3,fresh_postfreeze,no_experiment,32,3072,1236,2802,7,0,0,CONTROL
round_x_x3,fresh_postfreeze,copied_transcript,32,3072,1210,2173,4,0,0,CONTROL:copied_birth_world_transcript
round_x_x3,fresh_postfreeze,ablated,32,3072,1429,4150,7,0,0,CAUSAL_ABLATION:experiment_bytes_removed
round_x_x3,fresh_postfreeze,rewrite,32,3072,1429,4150,7,0,1454,CONTROL_PASS:ledger_rewrite_denied
round_x_x3,attack,evaluator_leak,1,0,0,0,0,0,0,CONTROL_PASS:no_map_score_or_private_state_in_policy
round_x_x3,attack,duplicate_evidence,1,0,0,0,0,0,0,CONTROL_PASS:world_digest_required_for_reproduction
round_x_x3,attack,post_freeze_mutation,1,0,0,0,0,0,0,CONTROL_PASS:frozen_genome_digest_rechecked
round_x_x3,attack,bloat,1,0,0,-4,0,0,0,CONTROL_PASS:all_genome_bytes_charged
round_x_x3,attack,shared_generator,1,0,0,0,0,0,0,CONTROL_PASS:disjoint_train_and_postfreeze_seed_domains
round_x_x3,attack,lineage_collapse,24,0,0,0,0,0,0,CONTROL_PASS:population_and_parent_digests_audited
round_x_x3,closure,aggregate,32,3072,1786,5538,9,256,0,VALID_NEGATIVE:no_exact_advantage_over_all_strong_controls
