target,seed,row,arm,candidate_evaluations,grammar,mask,modulus,residue,validation_accuracy,test_accuracy,detail
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,0,fixed,1,2,0,0.4117,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,0,random_directed,142,3,1,0.5983,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,1,fixed,2,2,0,0.4917,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,1,random_directed,254,2,0,0.4592,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,2,fixed,3,2,0,0.5467,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,2,random_directed,249,2,0,0.4608,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,3,fixed,4,2,0,0.5450,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,3,random_directed,216,3,2,0.5642,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,4,fixed,5,2,0,0.4383,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,4,random_directed,71,3,1,0.5933,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,5,fixed,1,3,0,0.5467,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,5,random_directed,85,2,1,0.5492,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,6,fixed,2,3,0,0.5375,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,6,random_directed,207,3,0,0.5833,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,7,fixed,3,3,0,0.5342,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,7,random_directed,223,2,1,0.5433,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,8,fixed,4,3,0,0.5358,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,8,random_directed,233,2,0,0.4675,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,9,fixed,5,3,0,0.5108,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,9,random_directed,49,2,1,0.5108,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,10,fixed,1,2,0,0.4117,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,10,random_directed,246,2,0,0.4675,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,11,fixed,2,2,0,0.4917,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,11,random_directed,118,3,2,0.5900,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,12,fixed,3,2,0,0.5467,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,12,random_directed,46,2,1,0.5200,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,13,fixed,4,2,0,0.5450,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,13,random_directed,205,2,0,0.4700,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,14,fixed,5,2,0,0.4383,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,14,random_directed,46,2,1,0.5200,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,15,fixed,1,3,0,0.5467,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,15,random_directed,248,2,1,0.5133,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,16,fixed,2,3,0,0.5375,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,16,random_directed,250,2,1,0.5317,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,17,fixed,3,3,0,0.5342,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,17,random_directed,191,3,2,0.6067,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,18,fixed,4,3,0,0.5358,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,18,random_directed,106,2,0,0.4675,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,19,fixed,5,3,0,0.5108,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,19,random_directed,117,3,2,0.5842,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,20,fixed,1,2,0,0.4117,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,20,random_directed,119,3,2,0.6067,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,21,fixed,2,2,0,0.4917,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,21,random_directed,12,3,2,0.5867,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,22,fixed,3,2,0,0.5467,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,22,random_directed,229,3,0,0.5650,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,23,fixed,4,2,0,0.5450,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,23,random_directed,180,2,0,0.4783,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,24,fixed,5,2,0,0.4383,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,24,random_directed,109,2,1,0.5292,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,25,fixed,1,3,1,0.6325,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,25,random_directed,217,2,0,0.4858,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,26,fixed,2,3,1,0.6242,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,26,random_directed,144,3,1,0.5817,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,27,fixed,3,3,1,0.6292,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,27,random_directed,35,3,2,0.5817,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,28,fixed,4,3,1,0.6175,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,28,random_directed,149,3,2,0.5825,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,29,fixed,5,3,1,0.6242,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,29,random_directed,59,2,0,0.4650,,
heldout_directed_pivot3_mod3,0xA600000000000001,ledger,hand_oracle,30,fixed,1,2,1,0.5883,,
