seed,arch,fitness,sac_min,sac_max,sac_mean,bij_w8,bij_w64,bij_w64_elapsed_ms,practrand_verdict,practrand_first_fail,gates_passed
1111222233334444,sa,46.429219,0.000000,1.000000,0.500000,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
F00DCAFE12345678,sa,46.338867,0.000000,1.000000,0.500838,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
DEADBEEFBADF00D0,sa,46.385254,0.000000,1.000000,0.500968,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
ACEF00DBEEFCAFE0,sa,46.165527,0.000000,1.000000,0.498822,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
0123456789ABCDEF,sa,46.375488,0.000000,1.000000,0.499866,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
CAFEBABEC0DE0001,sa,46.480469,0.000000,1.000000,0.500000,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
ABCDEF0123456789,sa,46.480469,0.000000,1.000000,0.500000,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
BEEFDEADC0FFEE00,sa,46.436523,0.000000,1.000000,0.497335,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
1111222233334444,mmm,-215.8119,0.000000,0.998800,0.396688,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
F00DCAFE12345678,mmm,-227.9357,0.000000,1.000000,0.123069,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
DEADBEEFBADF00D0,mmm,-210.3639,0.000000,1.000000,0.076172,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
ACEF00DBEEFCAFE0,mmm,-209.4632,0.000000,1.000000,0.142180,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
0123456789ABCDEF,mmm,-226.8593,0.000000,1.000000,0.067196,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
CAFEBABEC0DE0001,mmm,-1000000.0000,0.000000,1.000000,0.036738,VERIFIED,SKIP,NA,SKIP,NONE,1
ABCDEF0123456789,mmm,-226.8593,0.000000,1.000000,0.051683,VERIFIED,SKIP,NA,SKIP,NONE,1
BEEFDEADC0FFEE00,mmm,-10765.8125,0.000000,0.000000,0.000000,COUNTEREXAMPLE,SKIP,NA,SKIP,NONE,0
