pos,target,ref_nll,quant_nll,ref_top1,quant_top1
64,377,1.3136,1.5026,377,377
65,436,0.4593,0.9829,436,270
66,588,0.5465,0.7441,588,588
67,990,0.4601,0.5650,990,990
68,2070,2.3571,3.1486,4776,4776
69,304,0.0009,0.0020,304,304
70,4020,0.0906,0.1112,4020,4020
71,630,0.0002,0.0005,630,630
72,1478,0.0001,0.0002,1478,1478
73,16,0.3360,0.3095,16,16
74,29876,3.4485,3.9613,660,455
75,39525,2.0429,1.8818,21461,21461
76,588,1.7411,1.3456,14,14
77,1635,4.6015,5.3574,4776,4776
78,4020,1.0751,1.4967,4020,436
79,630,0.0012,0.0023,630,630
80,1478,0.0002,0.0002,1478,1478
81,9365,1.2440,2.4272,850,850
82,14,0.8952,0.8772,14,14
83,2622,0.8718,1.0549,2622,2622
84,1093,1.1733,0.9606,1093,1093
85,1505,1.4578,1.7925,396,396
86,304,0.3576,0.0965,304,304
87,2921,0.0450,0.0351,2921,2921
88,25091,3.7017,3.8463,7553,7553
89,1345,4.1580,4.4467,16,16
90,412,0.0019,0.0015,412,412
91,423,1.1851,2.0711,423,5477
92,1297,0.0020,0.0021,1297,1297
93,42828,0.0050,0.0016,42828,42828
94,321,0.0449,0.0168,321,321
95,16,2.7349,1.9795,343,343
96,334,4.0212,3.5908,6241,6241
97,223,7.5604,6.3608,69429,10817
98,792,1.0901,1.2937,792,643
99,26,1.4649,2.3835,26,25
100,2286,0.4268,0.7509,2286,2286
101,10905,3.9685,4.5808,2006,2006
102,396,0.0712,0.0721,396,396
103,2727,3.9554,6.7278,270,270
104,1949,0.0354,0.1426,1949,1949
105,294,0.3226,0.1127,294,294
106,270,0.5358,0.2719,270,270
107,7658,1.1111,0.7672,7658,7658
108,109719,0.0365,1.3683,109719,46597
109,295,0.3279,0.6048,295,295
110,270,0.0051,0.0104,270,270
111,3197,0.0294,0.3203,3197,3197
112,1142,0.2057,0.9273,1142,1142
113,4776,0.1225,0.8477,4776,4776
114,4020,0.0045,0.0299,4020,4020
115,630,0.0002,0.0002,630,630
116,1478,0.0000,0.0000,1478,1478
117,2918,5.2760,3.8428,14,16
118,436,0.0247,0.4948,436,436
119,4491,0.0040,0.9568,4491,4491
120,4443,0.0008,0.0341,4443,4443
121,20894,0.0002,0.0031,20894,20894
122,105043,0.1091,0.3145,105043,105043
123,778,2.8034,3.4082,14,14
124,28162,0.0024,7.9347,28162,9347
125,850,0.0107,0.3613,850,850
126,4443,0.0003,0.0021,4443,4443
