pos,target,ref_nll,quant_nll,ref_top1,quant_top1
64,33988,5.4955,5.6234,15789,15789
65,19431,3.3864,2.9575,48837,48837
66,4147,1.4620,1.4413,4147,4147
67,343,2.6217,3.4510,271,271
68,31653,7.7547,7.1845,3575,4195
69,18591,6.0824,6.3368,3026,15
70,868,0.1107,0.0705,868,868
71,3476,1.0296,1.7419,3476,671
72,477,0.0637,0.2597,477,477
73,270,2.1512,2.9355,260,260
74,2619,0.3248,0.3936,2619,2619
75,1795,6.9792,8.1595,42,73706
76,606,0.0067,0.0219,606,606
77,7104,1.2258,2.1085,7104,7104
78,42499,2.3034,3.5304,666,666
79,455,4.0402,3.8877,5375,5375
80,26924,5.5799,8.1397,11014,1487
81,17300,5.1895,4.5572,769,769
82,7704,11.5753,12.6305,260,260
83,16,1.4928,2.6686,16,23714
84,2042,0.3295,0.2873,2042,2042
85,7602,2.2844,2.1823,7009,7009
86,270,2.9926,2.1595,436,436
87,7704,0.7171,0.3259,7704,7704
88,339,0.8820,0.7832,339,339
89,10032,1.2791,1.9530,10032,666
90,4125,0.3468,0.2232,4125,4125
91,1137,0.4874,0.6244,1137,1137
92,19,0.4465,0.4249,19,19
93,16,0.0001,0.0002,16,16
94,19633,5.8407,5.0935,2619,2619
95,3608,2.3380,2.0848,270,270
96,6984,6.3230,7.5931,443,443
97,27801,9.4909,11.1899,443,15721
98,17664,0.0020,0.0354,17664,17664
99,32702,0.0000,0.0003,32702,32702
100,17,1.5173,0.2305,2731,17
101,5096,6.4981,11.7439,2638,68812
102,19365,1.2952,1.3740,4073,4073
103,66,0.6819,0.6015,66,66
104,304,0.7102,0.9300,304,304
105,1178,1.3794,1.2769,1762,1178
106,2041,6.4930,5.1799,270,270
107,12472,8.0927,6.9196,26924,1499
108,201,2.2129,1.5927,603,603
109,20,0.0024,0.0038,20,20
110,16,0.0000,0.0000,16,16
111,36745,4.0913,3.8979,70716,40585
112,1017,6.4425,7.2953,270,270
113,12275,6.4245,6.8240,12472,12472
114,12472,0.4335,0.8021,12472,12472
115,2765,1.1929,2.0209,304,304
116,270,1.6018,0.9931,37199,270
117,37199,0.0927,0.8829,37199,37199
118,4184,0.1078,0.1134,4184,4184
119,201,0.0514,0.0619,201,201
120,21,0.0001,0.0003,21,21
121,16,0.0000,0.0000,16,16
122,40585,5.0835,3.4937,20870,9658
123,28,3.7605,5.7858,270,270
124,582,1.9076,1.4721,582,582
125,2337,0.9439,1.1067,2337,2337
126,12275,1.0987,1.8551,12275,344
