pos,target,ref_nll,quant_nll,ref_top1,quant_top1
64,33988,5.4853,5.9642,15789,2923
65,19431,3.3878,3.5610,48837,48837
66,4147,1.4642,1.4346,4147,4147
67,343,2.6318,3.3709,271,271
68,31653,7.7391,7.2062,3575,4195
69,18591,6.0861,6.3115,3026,15
70,868,0.1087,0.0768,868,868
71,3476,1.0323,1.6907,3476,3476
72,477,0.0634,0.2923,477,477
73,270,2.1509,2.8811,260,260
74,2619,0.3199,0.4317,2619,2619
75,1795,6.9076,8.5209,42,73706
76,606,0.0068,0.0143,606,606
77,7104,1.2340,1.9370,7104,7104
78,42499,2.3150,3.1163,666,666
79,455,4.0422,3.6863,5375,5375
80,26924,5.5712,8.0921,11014,1487
81,17300,5.1743,4.5395,769,769
82,7704,11.5560,13.0413,260,260
83,16,1.4912,2.8659,16,4306
84,2042,0.3290,0.3859,2042,2042
85,7602,2.2814,2.2037,7009,7009
86,270,3.0051,2.2996,436,436
87,7704,0.7038,0.2531,7704,7704
88,339,0.8882,0.7475,339,339
89,10032,1.2805,1.9147,10032,666
90,4125,0.3482,0.2812,4125,4125
91,1137,0.4842,0.5475,1137,1137
92,19,0.4470,0.4053,19,19
93,16,0.0001,0.0003,16,16
94,19633,5.8382,4.8217,2619,2619
95,3608,2.3447,2.0242,270,270
96,6984,6.3030,7.3548,443,443
97,27801,9.4892,11.8586,443,443
98,17664,0.0022,0.1009,17664,17664
99,32702,0.0000,0.0003,32702,32702
100,17,1.4679,0.2915,2731,17
101,5096,6.5096,11.0423,2638,68812
102,19365,1.2957,1.1891,4073,4073
103,66,0.6893,0.5636,66,66
104,304,0.7111,0.8602,304,304
105,1178,1.3841,1.2050,1762,1178
106,2041,6.4857,5.5111,270,270
107,12472,8.0858,7.1347,26924,1499
108,201,2.2249,1.6422,603,603
109,20,0.0025,0.0058,20,20
110,16,0.0000,0.0000,16,16
111,36745,4.1071,3.7092,70716,40585
112,1017,6.4312,6.6647,270,270
113,12275,6.4319,6.5121,12472,12472
114,12472,0.4324,0.5878,12472,12472
115,2765,1.1792,2.2083,304,304
116,270,1.5859,0.9535,37199,270
117,37199,0.0926,0.8191,37199,37199
118,4184,0.1061,0.0858,4184,4184
119,201,0.0524,0.0624,201,201
120,21,0.0001,0.0004,21,21
121,16,0.0000,0.0000,16,16
122,40585,5.0190,3.8713,20870,9658
123,28,3.7799,5.6501,270,270
124,582,1.8684,1.6436,582,582
125,2337,0.9697,1.0006,2337,2337
126,12275,1.0615,1.1105,12275,12275
