pos,target,ref_nll,quant_nll,ref_top1,quant_top1
64,33988,5.6310,5.7732,15789,15789
65,19431,3.1792,3.3754,48837,48837
66,4147,1.4625,1.4461,4147,4147
67,343,2.6885,3.5228,271,271
68,31653,7.5697,6.6571,3575,9832
69,18591,6.1947,6.1766,3026,15
70,868,0.1202,0.0896,868,868
71,3476,1.0021,1.7864,3476,671
72,477,0.0648,0.1893,477,477
73,270,2.3553,2.8245,260,260
74,2619,0.3101,0.4247,2619,2619
75,1795,7.6447,7.1134,26614,73706
76,606,0.0079,0.0132,606,606
77,7104,1.5254,2.1148,7104,7104
78,42499,2.3905,2.9941,666,666
79,455,3.9307,3.8214,5375,5375
80,26924,5.7084,7.2814,11014,1487
81,17300,4.9277,3.6451,769,769
82,7704,11.6325,12.4035,260,260
83,16,1.2962,2.6286,16,16
84,2042,0.2848,0.2863,2042,2042
85,7602,2.3975,2.1691,7009,7009
86,270,3.0048,2.2590,436,436
87,7704,0.6893,0.1756,7704,7704
88,339,0.8644,0.8987,339,339
89,10032,1.3919,1.9286,10032,666
90,4125,0.3189,0.2387,4125,4125
91,1137,0.5331,0.5127,1137,1137
92,19,0.5378,0.3862,19,19
93,16,0.0002,0.0002,16,16
94,19633,5.7876,4.9008,2619,2619
95,3608,2.5390,2.0917,270,270
96,6984,6.1285,7.1185,443,443
97,27801,9.4840,11.6500,443,443
98,17664,0.0011,0.0419,17664,17664
99,32702,0.0000,0.0004,32702,32702
100,17,1.5853,0.2912,2731,17
101,5096,6.4935,11.0717,12066,68812
102,19365,0.9014,1.4036,4073,4073
103,66,0.6769,0.6878,66,66
104,304,0.7273,0.7794,304,304
105,1178,1.4778,1.0206,1762,1178
106,2041,6.0507,5.4539,270,270
107,12472,7.9161,7.5066,37199,1499
108,201,2.0922,1.9312,603,603
109,20,0.0026,0.0071,20,20
110,16,0.0000,0.0000,16,16
111,36745,3.9354,3.7934,70716,40585
112,1017,6.5183,7.3544,270,270
113,12275,6.8240,6.1333,12472,12472
114,12472,0.4995,0.7073,12472,12472
115,2765,1.1846,2.2776,304,304
116,270,1.6059,0.8673,37199,270
117,37199,0.1248,0.6583,37199,37199
118,4184,0.1325,0.0660,4184,4184
119,201,0.0540,0.0648,201,201
120,21,0.0002,0.0003,21,21
121,16,0.0000,0.0000,16,16
122,40585,5.3461,3.4532,9658,20870
123,28,3.8664,4.4177,270,270
124,582,1.9097,1.6128,582,582
125,2337,0.9542,1.2216,2337,2337
126,12275,1.0414,1.0852,12275,12275
