opaque_id	private_family	input_ops	polynomial_sha256
artifact_000	identity_path	8	33aa0feaec417d200c5cd63ccc99b070e606ae26ff03eaed1130f101781373e0
artifact_001	bilinear_sum	9	044d59623a7611a40e9a1c78257f3f492241e6ef3c418b0a62e0853b7a7c4952
artifact_002	quadratic_residual	12	4a179195411756c81d4079a3256ac89c693c414c7f3e396e7cde55cf3bccc300
artifact_003	shared_projection_sum	14	89ade46daf033771a37ab32a5f0f78eb818b2200fc0ef0ae0077056e6f97e46c
artifact_004	quadratic_residual	12	4a179195411756c81d4079a3256ac89c693c414c7f3e396e7cde55cf3bccc300
artifact_005	shared_projection_sum	12	89ade46daf033771a37ab32a5f0f78eb818b2200fc0ef0ae0077056e6f97e46c
artifact_006	shared_projection_difference	11	fb7653aa73c123cae72b18dffd2c25def0a3f4d986f7adb76462f819e6816b58
artifact_007	identity_path	8	33aa0feaec417d200c5cd63ccc99b070e606ae26ff03eaed1130f101781373e0
artifact_008	identity_path	8	33aa0feaec417d200c5cd63ccc99b070e606ae26ff03eaed1130f101781373e0
artifact_009	gated_path	14	29ff1fb2740ad82dfb022f1531ed84793a0ebb69736a739bc551d8d8ad91ecde
artifact_010	activation_residual	14	13467b6bf2e2f630a4b310d113b5988bb711733f8f724b690e19d0188117bcad
artifact_011	bilinear_sum	15	044d59623a7611a40e9a1c78257f3f492241e6ef3c418b0a62e0853b7a7c4952
artifact_012	shared_projection_difference	12	fb7653aa73c123cae72b18dffd2c25def0a3f4d986f7adb76462f819e6816b58
artifact_013	bilinear_sum	9	044d59623a7611a40e9a1c78257f3f492241e6ef3c418b0a62e0853b7a7c4952
artifact_014	shared_projection_difference	15	fb7653aa73c123cae72b18dffd2c25def0a3f4d986f7adb76462f819e6816b58
artifact_015	bilinear_sum	14	044d59623a7611a40e9a1c78257f3f492241e6ef3c418b0a62e0853b7a7c4952
artifact_016	quadratic_residual	8	4a179195411756c81d4079a3256ac89c693c414c7f3e396e7cde55cf3bccc300
artifact_017	identity_path	7	33aa0feaec417d200c5cd63ccc99b070e606ae26ff03eaed1130f101781373e0
artifact_018	bilinear_sum	15	044d59623a7611a40e9a1c78257f3f492241e6ef3c418b0a62e0853b7a7c4952
artifact_019	identity_path	9	33aa0feaec417d200c5cd63ccc99b070e606ae26ff03eaed1130f101781373e0
artifact_020	two_weight_residual	10	35f6b8df854674557f822b487c1375218639924fe5aedf99d4476b20d20499de
artifact_021	shared_projection_sum	7	89ade46daf033771a37ab32a5f0f78eb818b2200fc0ef0ae0077056e6f97e46c
artifact_022	activation_residual	8	13467b6bf2e2f630a4b310d113b5988bb711733f8f724b690e19d0188117bcad
artifact_023	quadratic_residual	8	4a179195411756c81d4079a3256ac89c693c414c7f3e396e7cde55cf3bccc300
artifact_024	gated_path	9	29ff1fb2740ad82dfb022f1531ed84793a0ebb69736a739bc551d8d8ad91ecde
artifact_025	quadratic_residual	12	4a179195411756c81d4079a3256ac89c693c414c7f3e396e7cde55cf3bccc300
artifact_026	shared_projection_difference	10	fb7653aa73c123cae72b18dffd2c25def0a3f4d986f7adb76462f819e6816b58
artifact_027	quadratic_residual	7	4a179195411756c81d4079a3256ac89c693c414c7f3e396e7cde55cf3bccc300
artifact_028	activation_residual	11	13467b6bf2e2f630a4b310d113b5988bb711733f8f724b690e19d0188117bcad
artifact_029	gated_path	7	29ff1fb2740ad82dfb022f1531ed84793a0ebb69736a739bc551d8d8ad91ecde
artifact_030	quadratic_residual	8	4a179195411756c81d4079a3256ac89c693c414c7f3e396e7cde55cf3bccc300
artifact_031	shared_projection_sum	12	89ade46daf033771a37ab32a5f0f78eb818b2200fc0ef0ae0077056e6f97e46c
artifact_032	shared_projection_sum	10	89ade46daf033771a37ab32a5f0f78eb818b2200fc0ef0ae0077056e6f97e46c
artifact_033	bilinear_sum	12	044d59623a7611a40e9a1c78257f3f492241e6ef3c418b0a62e0853b7a7c4952
artifact_034	shared_projection_difference	8	fb7653aa73c123cae72b18dffd2c25def0a3f4d986f7adb76462f819e6816b58
artifact_035	two_weight_residual	8	35f6b8df854674557f822b487c1375218639924fe5aedf99d4476b20d20499de
artifact_036	shared_projection_difference	8	fb7653aa73c123cae72b18dffd2c25def0a3f4d986f7adb76462f819e6816b58
artifact_037	quadratic_residual	15	4a179195411756c81d4079a3256ac89c693c414c7f3e396e7cde55cf3bccc300
artifact_038	two_weight_residual	9	35f6b8df854674557f822b487c1375218639924fe5aedf99d4476b20d20499de
artifact_039	quadratic_residual	8	4a179195411756c81d4079a3256ac89c693c414c7f3e396e7cde55cf3bccc300
artifact_040	activation_residual	8	13467b6bf2e2f630a4b310d113b5988bb711733f8f724b690e19d0188117bcad
artifact_041	two_weight_residual	9	35f6b8df854674557f822b487c1375218639924fe5aedf99d4476b20d20499de
artifact_042	shared_projection_sum	8	89ade46daf033771a37ab32a5f0f78eb818b2200fc0ef0ae0077056e6f97e46c
artifact_043	shared_projection_sum	10	89ade46daf033771a37ab32a5f0f78eb818b2200fc0ef0ae0077056e6f97e46c
artifact_044	quadratic_residual	15	4a179195411756c81d4079a3256ac89c693c414c7f3e396e7cde55cf3bccc300
artifact_045	bilinear_sum	13	044d59623a7611a40e9a1c78257f3f492241e6ef3c418b0a62e0853b7a7c4952
artifact_046	bilinear_sum	13	044d59623a7611a40e9a1c78257f3f492241e6ef3c418b0a62e0853b7a7c4952
artifact_047	gated_path	12	29ff1fb2740ad82dfb022f1531ed84793a0ebb69736a739bc551d8d8ad91ecde
artifact_048	shared_projection_difference	8	fb7653aa73c123cae72b18dffd2c25def0a3f4d986f7adb76462f819e6816b58
artifact_049	identity_path	6	33aa0feaec417d200c5cd63ccc99b070e606ae26ff03eaed1130f101781373e0
artifact_050	two_weight_residual	11	35f6b8df854674557f822b487c1375218639924fe5aedf99d4476b20d20499de
artifact_051	bilinear_sum	10	044d59623a7611a40e9a1c78257f3f492241e6ef3c418b0a62e0853b7a7c4952
artifact_052	quadratic_residual	11	4a179195411756c81d4079a3256ac89c693c414c7f3e396e7cde55cf3bccc300
artifact_053	two_weight_residual	10	35f6b8df854674557f822b487c1375218639924fe5aedf99d4476b20d20499de
artifact_054	identity_path	10	33aa0feaec417d200c5cd63ccc99b070e606ae26ff03eaed1130f101781373e0
artifact_055	gated_path	9	29ff1fb2740ad82dfb022f1531ed84793a0ebb69736a739bc551d8d8ad91ecde
