opaque_id	phase	seed_hex	expression
artifact_000	HELDOUT	0xab04d00aa26499fb	(sub x (sub (add 0 (mul y 1)) (mul (sub (sub (add y x) x) 0) 1)))
artifact_001	HELDOUT	0xec8734451b4556ee	(add (add (mul (mul x y) 1) (mul 0 y)) (mul (add (add (mul y 1) 0) 0) z))
artifact_002	HELDOUT	0xc417cfe0d2f8413e	(add (add (mul x x) (add (sub (sub (add (sub y y) (add y (sub 0 0))) 0) z) (sub z (sub 0 0)))) 0)
artifact_003	HELDOUT	0x8458c465ae2e295f	(mul (sub (add (add (sub (add (mul (add (sub x y) y) 1) 0) z) z) x) x) (sub (add (add (sub (add y z) y) y) 0) 0))
artifact_004	HELDOUT	0x8c923a015a70c3a7	(sub (add (add (mul x (sub (sub (add (sub (add (mul x 1) z) z) z) 0) z)) 0) (sub y 0)) (add 0 0))
artifact_005	HELDOUT	0xf56c96aabeff7fe7	(add (sub (add (add (add (mul (add (add (sub x x) 0) x) (add (sub y 0) z)) 0) 0) x) x) (add 0 0))
artifact_006	HELDOUT	0x36ea301eafcf33cd	(mul x (sub (sub y (add (sub z y) (sub (add (mul y (mul (add (sub 1 z) z) 1)) z) z))) 0))
artifact_007	HELDOUT	0x576bae415289eb70	(sub (add (add (sub (add x 0) 0) x) 0) (mul x (add (sub 1 0) 0)))
artifact_008	HELDOUT	0x7b7309fce90a89c1	(mul (add (add (mul (sub (mul x 1) x) 1) (mul x (add 1 0))) 0) 1)
artifact_009	HELDOUT	0xfae9303a85c920cd	(add (add (add (sub (mul (mul (add (sub (add x y) x) x) 1) (add (sub z (add x (sub (add 0 y) y))) x)) y) 0) y) 0)
artifact_010	HELDOUT	0xdca4992b77df34c3	(sub (add (add (add (sub (add (sub (mul x (sub (add y z) z)) x) x) z) z) (sub z 0)) y) (sub (add (sub y z) z) 0))
artifact_011	HELDOUT	0xe6f628c174070636	(sub (add (add (sub (add (add (mul x (sub y (sub (sub (add (add 0 x) y) y) x))) (mul y z)) 0) x) x) (add (sub x x) x)) x)
artifact_012	HELDOUT	0xf2987073f3907c90	(mul (add (add (sub (mul x 1) y) y) (add (sub 0 z) z)) (sub (sub (add y x) x) (add (sub z x) x)))
artifact_013	HELDOUT	0x268f6bbb65e94738	(sub (add (add (sub (sub (mul x y) y) (add (sub 0 y) y)) y) (mul y z)) 0)
artifact_014	HELDOUT	0xb9ab6eda98a65da2	(mul (sub x 0) (sub (sub (sub (add (sub (sub (add (add (add (add y (mul x 1)) (add (sub 0 z) z)) z) z) z) z) z) z) x) z))
artifact_015	HELDOUT	0xac3d788c14aa19b1	(add (sub (add (sub (sub (mul x (sub (add y (add x 0)) x)) (mul (add (sub 0 y) y) 1)) 0) (add (mul y z) 0)) z) z)
artifact_016	HELDOUT	0xe50c7f72051a3bd8	(add (mul (sub (mul (mul (add x 0) 1) (sub 1 0)) (add 0 0)) x) y)
artifact_017	HELDOUT	0x9a07a9d04353f1c4	(add (sub (add (add (sub (sub (sub x y) 0) 0) 0) y) y) y)
artifact_018	HELDOUT	0xd5fbf59a743b7979	(sub (add (add (mul x y) (add (sub (mul (add (add (sub (mul (sub y z) 1) (add (sub x x) x)) x) z) (mul z 1)) y) y)) y) y)
artifact_019	HELDOUT	0xdf8a59128c6dd903	(add (add (sub (add (sub (sub (add (add x 0) 0) 0) x) z) z) x) (add 0 0))
artifact_020	HELDOUT	0xee963290a0a1d531	(sub (sub (sub (mul (add (mul (add (add (add (mul x y) y) 0) 0) 1) 0) 1) y) 0) z)
artifact_021	HELDOUT	0xd467bfd19413f70b	(mul x (mul (mul (add y (add (sub z y) (sub y 0))) 1) 1))
artifact_022	HELDOUT	0x29e5071419a1dcbb	(mul (add (mul x (mul (sub (add y z) z) 1)) (sub (add z x) x)) 1)
artifact_023	HELDOUT	0x299d9adc78fba630	(add (mul x (sub (add x z) z)) (sub (add (add y (sub 0 0)) z) z))
artifact_024	HELDOUT	0x2294eff0de784ec6	(mul (add (sub (add (add x (sub (add y z) z)) 0) y) y) (add (mul z 1) 0))
artifact_025	HELDOUT	0x3481767b2ca239d5	(sub (sub (sub (add (add (add (add (mul x (sub (add x y) y)) 0) y) (add (sub x x) x)) y) y) 0) x)
artifact_026	HELDOUT	0x130e3169dca124f6	(mul (add (sub x (sub (add x (sub (add (sub z z) z) 0)) z)) x) (mul (sub y z) 1))
