# label	expression
shared_qk_projection	(add (mul x y) (mul x z))
shared_kv_projection	(add (mul y x) (mul z x))
residual_add_remove	(sub (add x y) y)
residual_remove_add	(add (sub x y) y)
mask_self_difference	(sub x x)
scale_identity_left	(mul 1 (add x y))
scale_identity_right	(mul (add x y) 1)
zero_bias_projection	(add (mul x y) 0)
zero_gate_projection	(mul (add x y) 0)
cancel_nested_left	(sub x (sub x y))
cancel_nested_right	(sub (add x y) x)
cancel_common_tail	(sub (add x z) (add y z))
factor_shared_activation	(add (mul x z) (mul y z))
factor_shared_weight	(add (mul z x) (mul z y))
factor_signed_activation	(sub (mul x y) (mul x z))
factor_signed_weight	(sub (mul y x) (mul z x))
remove_zero_delta	(sub (add x 0) 0)
remove_double_zero	(add (sub x 0) (mul y 0))
nested_residual_cancel	(sub (add (mul x y) z) z)
nested_projection_zero	(add (mul (add x 0) y) 0)
double_substitution	(sub x (sub (add x y) z))
balanced_difference	(sub (add x y) (add x z))
two_path_cancel	(add (sub (mul x y) z) z)
two_path_factor	(add (mul (add x y) z) (mul (sub x y) z))
