opaque_id	phase	artifact_path	artifact_sha256	input_shape	projection_outs
tensor_00d41eb7ec7fb22a	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_00d41eb7ec7fb22a.json	e2ec10554abd2e4f839dc02e0fd5738f8278f4d509a5c41ad8cd4b5b0607832a	1x1x16	16,16,16
tensor_3f9742f4d17ed964	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_3f9742f4d17ed964.json	2975c7015c17b75c119da12c6a3a2103fd5ec117e0764577ef88d07f7dc1279a	1x4x16	16,16,16
tensor_313eeaf0dc5c3d45	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_313eeaf0dc5c3d45.json	36c9227641a967004b453be19af497c95ff3b1c6aad908df8facb28271df88b9	1x8x32	32,32,32
tensor_28064ec7d52d31fe	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_28064ec7d52d31fe.json	b76a8ccf842102a264f5748808e3d0fefd47e8413865bbc821a59efd4d5ce642	1x16x32	32,32,32
tensor_52b9d1396b4e1952	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_52b9d1396b4e1952.json	1bd43e738bad8022378753fa539795794177ab369b6abe1e3f2b07a9c3ef8fdc	1x32x64	64,64,64
tensor_c5e2287aaa20fd06	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_c5e2287aaa20fd06.json	2fa4d08617b2e17f6969aa433614bc104c75a085c785ea392a39f53f0ff5a177	2x32x64	64,64,64
tensor_75c4d78a0c0a5a43	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_75c4d78a0c0a5a43.json	be12db36b7ce9ad7b3334b4ca50ad963e9d17097110d6df2f1cee5079f46f18f	2x64x128	128,128,128
tensor_e19f309f66b6b91e	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_e19f309f66b6b91e.json	f6afe32cf1a75f9b3625c6bbac6cb9a65d934a0ff7235fbadaa447de10a238e6	4x64x256	256,256,256
tensor_f196d6b73b0f68b5	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_f196d6b73b0f68b5.json	d3e8c1efe0eada15cf17e0f3686ea210554837a391caa49f876befab2b7f15db	1x16x32	32,32,32
tensor_fab1ddb9e88be7a7	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_fab1ddb9e88be7a7.json	ff84b2d90e939c35914cd59e7c592e3e1b3c9f60d7e43e095f19c1854c9d5ef9	2x64x128	128,128,128
tensor_24c88410ece88e3b	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_24c88410ece88e3b.json	15257147ad9f74f42e91503abed754884ed9018bfbe3494416b4095fc9b35cf2	1x8x32	32,32,32
tensor_cff7503060be0c33	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_cff7503060be0c33.json	88a69f90a39b5481eb97eeec8b693fe1ab485d3f55b6ba7384c63d96cfc35870	1x16x32	32,32,32
tensor_d8127885b2ff0a0d	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_d8127885b2ff0a0d.json	ded528f409f6d2c18f16385316ee71b4d8542494fb6ba6e4540a9cc160646e31	2x64x128	128,128,128
tensor_47295585575e798f	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_47295585575e798f.json	45d95c64a125a6856eea420f48621951c1278c689808b207399b5b45d85d8129	1x1x16	16,16,16
tensor_b5da76ab00e1def3	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_b5da76ab00e1def3.json	c5cd14cdc2d0cb393047e02c9228df12be9d5461d9f6e9a1fc9e464d681b538e	1x4x16	16,16,16
tensor_cf77e9c96fdf6de2	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_cf77e9c96fdf6de2.json	7744c869d665a504bc83b517a9459c6a2fb343b1baae94f431041aa9b11f4f18	2x32x64	64,64,64
tensor_4fc63ab7d882a224	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_4fc63ab7d882a224.json	d25e4e0e8dedb2bc3567e2b01c7c9d264bb2e22dfbcee1ecc9432ca944d2ddba	1x1x16	16,16,16
tensor_7be85d1ccfb5ed08	DEVELOPMENT	ghost_scientist/tensor_v4/results/development/public/tensor_7be85d1ccfb5ed08.json	237941e1140131aed29b3b88badb3e0048398bfdc44b58028c89ab8e44a40228	1x4x16	16,16,16
