idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,14,ADD_ROT,3,0,2,0x63EEAAF618442F5A,17
1,8,AND_NOT,1,3,7,0x9760D3CB5FC6C294,17
2,4,SHL_XOR,6,1,0,0xB580336DEC1A09BC,17
3,7,ADD_CONST,7,6,1,0x0DC0FE7A0EDE7670,17
4,9,OR_SHIFT,1,6,7,0x365BD2CC1ED6D88D,17
5,9,OR_SHIFT,4,6,0,0x006BF1F633C0A8BB,17
6,5,SHR_XOR,0,1,4,0x540C4823031421EE,17
7,11,ROTR,3,7,0,0xC17C564E771A6B7A,17
8,11,ROTR,6,4,0,0x13875AF33D1B4DA0,17
9,1,ADD,2,6,1,0x7AC0227F995F6D9C,17
10,1,ADD,3,6,0,0xB2A66FC7137E1B9F,17
11,3,ROTL,7,2,6,0xF69DCFFB2AACC27A,17
12,1,ADD,6,1,3,0x62B2032AEA99DAE5,17
13,11,ROTR,6,3,2,0xD0F936806F33FA02,17
14,5,SHR_XOR,6,6,4,0xE7A3E02E4A5CC3A7,17
15,14,ADD_ROT,2,3,6,0xBEB8901347A38222,17
16,0,XOR,7,2,7,0x3D2990A1BB7670A6,17
