a,b,bit_agreement
1,2,0.5017
1,3,0.4992
1,4,0.4999
1,5,0.5009
1,6,0.4953
1,7,0.5017
1,8,0.4999
1,9,0.5025
1,10,0.4988
1,11,0.5004
1,12,0.4976
1,13,0.5032
1,14,0.4996
1,15,0.5015
1,16,0.5019
1,17,0.5036
1,18,0.4999
1,19,0.5016
1,20,0.4998
2,3,0.4993
2,4,0.5026
2,5,0.4977
2,6,0.4976
2,7,0.5000
2,8,0.5006
2,9,0.4988
2,10,0.4991
2,11,0.4995
2,12,0.4987
2,13,0.5001
2,14,0.4967
2,15,0.5023
2,16,0.4983
2,17,0.4991
2,18,0.4986
2,19,0.4981
2,20,0.4994
3,4,0.5050
3,5,0.5000
3,6,0.5020
3,7,0.5027
3,8,0.5004
3,9,0.5004
3,10,0.5017
3,11,0.5009
3,12,0.5004
3,13,0.4985
3,14,0.4985
3,15,0.5000
3,16,0.4971
3,17,0.4990
3,18,0.5025
3,19,0.5010
3,20,0.5015
4,5,0.5028
4,6,0.5016
4,7,0.5015
4,8,0.5005
4,9,0.5013
4,10,0.5023
4,11,0.5001
4,12,0.5005
4,13,0.5011
4,14,0.4995
4,15,0.5034
4,16,0.5008
4,17,0.5032
4,18,0.5007
4,19,0.4997
4,20,0.4997
5,6,0.5007
5,7,0.4999
5,8,0.4979
5,9,0.4989
5,10,0.4973
5,11,0.5018
5,12,0.5016
5,13,0.5023
5,14,0.4996
5,15,0.4984
5,16,0.5021
5,17,0.4972
5,18,0.4989
5,19,0.5011
5,20,0.4987
6,7,0.5007
6,8,0.5012
6,9,0.5020
6,10,0.5017
6,11,0.5030
6,12,0.5033
6,13,0.4979
6,14,0.5024
6,15,0.4962
6,16,0.4982
6,17,0.5009
6,18,0.5022
6,19,0.5001
6,20,0.5021
7,8,0.5010
7,9,0.4964
7,10,0.4995
7,11,0.5023
7,12,0.4999
7,13,0.4987
7,14,0.5000
7,15,0.4973
7,16,0.5006
7,17,0.4995
7,18,0.5033
7,19,0.4980
7,20,0.4978
8,9,0.5030
8,10,0.4989
8,11,0.5016
8,12,0.5018
8,13,0.4993
8,14,0.5000
8,15,0.5011
8,16,0.4984
8,17,0.5025
8,18,0.5010
8,19,0.4974
8,20,0.5007
9,10,0.5016
9,11,0.4974
9,12,0.5016
9,13,0.4978
9,14,0.4987
9,15,0.4967
9,16,0.4991
9,17,0.5027
9,18,0.5004
9,19,0.4995
9,20,0.5010
10,11,0.4996
10,12,0.4992
10,13,0.4988
10,14,0.5011
10,15,0.4960
10,16,0.4984
10,17,0.5009
10,18,0.5002
10,19,0.5011
10,20,0.4998
11,12,0.4996
11,13,0.5002
11,14,0.4996
11,15,0.4993
11,16,0.4999
11,17,0.5015
11,18,0.4997
11,19,0.5022
11,20,0.5011
12,13,0.5017
12,14,0.5013
12,15,0.5015
12,16,0.4993
12,17,0.5033
12,18,0.4977
12,19,0.4980
12,20,0.4969
13,14,0.5004
13,15,0.4996
13,16,0.5047
13,17,0.5012
13,18,0.4991
13,19,0.4980
13,20,0.5010
14,15,0.4966
14,16,0.4987
14,17,0.5009
14,18,0.5009
14,19,0.5001
14,20,0.4983
15,16,0.5000
15,17,0.4975
15,18,0.5014
15,19,0.5040
15,20,0.5010
16,17,0.4969
16,18,0.4988
16,19,0.4994
16,20,0.5007
17,18,0.4970
17,19,0.4957
17,20,0.4997
18,19,0.5017
18,20,0.5018
19,20,0.4991
